seed,variant,total_cost,cover12_count
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,18,39,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,19,29,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,20,29,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,21,29,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,22,39,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,23,39,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,24,29,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,25,39,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,26,39,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,27,32,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,28,29,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,29,45,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,30,36,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,31,29,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,32,39,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,33,39,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,34,29,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,35,29,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,36,32,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,37,32,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,38,29,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:cover306_total30/w33_to_n12_mapping.csv,39,39,306
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,0,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,1,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,2,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,3,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,4,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,5,29,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,6,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,7,29,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,8,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,9,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,10,36,307
