p,q,k_mod12
35,3,1
35,4,11
35,6,3
35,7,1
35,8,11
35,11,11
35,12,1
35,13,10
35,15,0
35,16,1
35,17,11
35,20,11
35,21,1
35,22,0
35,23,10
35,26,1
35,27,11
35,28,1
35,30,11
35,32,0
35,33,10
35,34,3
35,36,9
35,37,11
35,38,1
36,0,0
36,1,1
36,2,11
36,4,3
36,6,7
36,8,1
36,9,11
36,10,11
36,11,1
36,13,2
36,15,4
36,17,1
36,18,11
36,19,11
36,20,1
36,22,4
36,23,2
36,25,11
36,27,1
36,29,11
36,30,1
36,32,4
36,33,2
36,34,9
36,35,3
36,37,1
36,39,11
37,0,0
37,2,1
37,3,11
37,4,1
37,5,4
37,7,1
37,8,11
37,10,11
37,11,1
37,13,0
37,14,2
37,16,1
37,17,11
37,19,11
37,20,1
37,22,2
37,24,0
37,25,11
37,27,1
37,28,1
37,30,11
37,32,0
37,33,2
37,35,1
37,36,11
37,38,3
37,39,9
38,0,0
38,1,1
38,2,11
38,4,9
38,5,0
38,7,11
38,9,1
38,11,11
38,12,1
38,13,8
38,14,10
38,16,11
38,18,1
38,20,11
38,21,1
38,22,10
38,24,8
38,26,1
38,27,11
38,28,11
38,29,1
38,32,8
38,33,10
38,34,1
38,35,11
38,37,9
38,39,3
39,0,0
39,1,11
39,3,1
39,4,5
39,5,8
39,8,1
39,9,11
39,10,1
39,12,11
39,13,4
39,14,6
39,17,1
39,18,11
39,19,1
39,21,11
39,22,6
39,24,4
39,25,1
39,26,11
39,29,11
39,30,1
39,32,4
39,33,6
39,34,11
39,36,1
39,37,3
39,38,9
