triad_id,w33_a,w33_b,w33_c,n12_a,n12_b,n12_c,cover_size,cover12,mask_hex
133,5,14,31,C13,C16,C20,12,1,0xfff
134,5,15,22,C13,C26,C23,12,1,0xfff
135,5,15,32,C13,C26,X35,12,1,0xfff
136,5,19,29,C13,F35,C11,12,1,0xfff
137,5,19,39,C13,F35,C21,12,1,0xfff
138,5,20,30,C13,C32,C18,12,1,0xfff
139,5,20,37,C13,C32,C09,9,0,0xfc7
140,5,21,28,C13,C10,C05,12,1,0xfff
141,5,21,38,C13,C10,X36,12,1,0xfff
142,5,22,32,C13,C23,X35,12,1,0xfff
143,5,23,33,C13,C25,C07,9,0,0xfc7
144,5,24,31,C13,C24,C20,12,1,0xfff
145,5,28,38,C13,C05,X36,12,1,0xfff
146,5,29,39,C13,C11,C21,12,1,0xfff
147,5,30,37,C13,C18,C09,12,1,0xfff
148,6,7,11,C08,C27,C17,12,1,0xfff
149,6,8,10,C08,C02,C28,12,1,0xfff
150,6,9,12,C08,C04,C03,12,1,0xfff
151,6,13,24,C08,C31,C24,12,1,0xfff
152,6,13,32,C08,C31,X35,9,0,0xe3f
153,6,14,22,C08,C16,C23,9,0,0x1ff
154,6,14,33,C08,C16,C07,12,1,0xfff
155,6,15,23,C08,C26,C25,12,1,0xfff
156,6,15,31,C08,C26,C20,12,1,0xfff
157,6,16,27,C08,C14,C37,12,1,0xfff
158,6,16,35,C08,C14,C29,12,1,0xfff
159,6,17,25,C08,C06,C34,9,0,0xe3f
160,6,17,36,C08,C06,C15,12,1,0xfff
161,6,18,26,C08,C33,C12,12,1,0xfff
162,6,18,34,C08,C33,C19,12,1,0xfff
163,6,22,33,C08,C23,C07,12,1,0xfff
164,6,23,31,C08,C25,C20,12,1,0xfff
165,6,24,32,C08,C24,X35,12,1,0xfff
166,6,25,36,C08,C34,C15,12,1,0xfff
167,6,26,34,C08,C12,C19,12,1,0xfff
168,6,27,35,C08,C37,C29,12,1,0xfff
169,7,8,9,C27,C02,C04,12,1,0xfff
170,7,13,25,C27,C31,C34,12,1,0xfff
171,7,13,37,C27,C31,C09,12,1,0xfff
172,7,14,26,C27,C16,C12,9,0,0x1ff
173,7,14,38,C27,C16,X36,12,1,0xfff
174,7,16,28,C27,C14,C05,12,1,0xfff
175,7,16,31,C27,C14,C20,12,1,0xfff
176,7,17,29,C27,C06,C11,9,0,0xff8
177,7,17,32,C27,C06,X35,9,0,0xff8
178,7,19,22,C27,F35,C23,9,0,0x1ff
179,7,19,34,C27,F35,C19,9,0,0xff8
180,7,20,23,C27,C32,C25,12,1,0xfff
181,7,20,35,C27,C32,C29,12,1,0xfff
182,7,22,34,C27,C23,C19,12,1,0xfff
183,7,23,35,C27,C25,C29,9,0,0xff8
184,7,25,37,C27,C34,C09,12,1,0xfff
185,7,26,38,C27,C12,X36,12,1,0xfff
186,7,28,31,C27,C05,C20,9,0,0x1ff
187,7,29,32,C27,C11,X35,9,0,0xff8
188,8,13,26,C02,C31,C12,12,1,0xfff
189,8,13,39,C02,C31,C21,12,1,0xfff
190,8,14,27,C02,C16,C37,12,1,0xfff
191,8,14,37,C02,C16,C09,9,0,0xfc7
192,8,17,30,C02,C06,C18,12,1,0xfff
193,8,17,31,C02,C06,C20,12,1,0xfff
194,8,18,28,C02,C33,C05,12,1,0xfff
195,8,18,32,C02,C33,X35,12,1,0xfff
196,8,19,23,C02,F35,C25,9,0,0xfc7
197,8,19,36,C02,F35,C15,12,1,0xfff
198,8,21,22,C02,C10,C23,12,1,0xfff
199,8,21,35,C02,C10,C29,12,1,0xfff
200,8,22,35,C02,C23,C29,12,1,0xfff
201,8,23,36,C02,C25,C15,12,1,0xfff
202,8,26,39,C02,C12,C21,12,1,0xfff
203,8,27,37,C02,C37,C09,12,1,0xfff
