lambda,mu,c1,c1_hat,c2,c2_hat,c3,c3_hat,c4,c4_hat,c5,c5_hat
0.49,0.75,27.124637965543698,26.72754094388791,8.332554781127664,7.891411240003897,2.7376979432320576,2.8574570438002564,-2.384107022138873,-2.218789518170844,-0.4580370294466763,0.6360876771252313
0.49,1.25,24.987700225262053,24.727729754528383,4.065270324351028,3.9643739713142736,-1.949978299741011,-2.051897689361406,0.23050524996316557,0.46332752086861717,1.7874839866556052,2.192658245729694
0.49,1.75,20.153666589287514,20.134473123127908,-7.676502851563021,-7.481446078627876,-8.990378803577824,-9.108118446817794,0.48758709660398386,0.4644322989418015,2.0240083588146507,0.9659963319326295
0.5,0.75,27.11734435122039,26.75124946263036,8.705289738012079,8.30755040087356,1.449523912436746,1.7346477398321127,-3.0038321431544484,-2.8377380348605783,-0.5871043549193298,0.41508427742797593
0.5,1.25,25.144441587908076,24.690200200890555,4.869823380514278,4.9062922142638286,-3.001136396759452,-3.140470284278244,-0.007734468818595025,0.4634541185974115,1.2601585562475366,1.954548408390263
0.5,1.75,19.89565905120983,20.035705497109806,-5.8766182230405795,-6.013748753598406,-9.927395748733739,-10.162454332683325,0.5369247145186304,1.0836340110891456,1.7000381567487137,0.7107800569510196
0.51,0.75,26.93220814416322,26.67417665826099,8.918312133525369,8.606891519273159,0.3746011461149513,0.7111416798292071,-3.6080625373198947,-3.415037735521153,-0.7235709766800812,0.07490952507941362
0.51,1.25,25.121634723444117,24.55188932414091,5.640855024418664,5.731412414743318,-3.8892173411063644,-4.1297396352298446,-0.12517816795686584,0.505229532355358,0.8088600174496207,1.5972672183995247
0.51,1.75,19.699389051192146,19.836156547979886,-4.294385875230011,-4.66284947103901,-10.863222249944675,-11.117486974583617,0.8068515333649169,1.7444845392656418,0.6833428178791201,0.33639242931810287
0.52,0.75,26.612822218874268,26.496322530779857,8.985167857427705,8.78943459520272,-0.4351967126990737,-0.21306113620837525,-4.028789418281551,-3.9506886201525546,-0.7812284346347625,-0.38443657992045566
0.52,1.25,24.746715896595642,24.312797124279506,6.345097385434459,6.4397345727527835,-4.7751357140036275,-5.01970574221612,0.015267827247041729,0.5886537621424992,0.42761452086105406,1.1208146757574795
0.52,1.75,19.43735825392307,19.535826275738206,-3.0027754227254224,-3.428748230949658,-11.876412313228752,-11.97321637251859,1.8831146563531258,2.4469838834712903,-0.42618577195785146,-0.1571665509661173
0.53,0.75,26.00860127428983,26.217687080186852,8.94806653854873,8.855179628662185,-1.1394064746587829,-1.0379607082807762,-4.365763750952561,-4.4446906887547755,-0.7086840884276955,-0.9629540375716319
0.53,1.25,24.278051693757675,23.972923601306224,6.685822936951476,7.031258688292155,-5.6493012450617295,-5.8103686052372145,0.4311486140148994,0.713726807958821,-0.06343298716075339,0.5251907804641256
0.53,1.75,19.060200077845412,19.134714680384647,-1.8909730402579676,-2.3114450333304006,-12.740401013522286,-12.729642526488377,3.2114457873127935,3.1911320437061335,-1.407512541545452,-0.7698968839016445
0.54,0.75,25.354171037133916,25.83827030648206,8.893318236474126,8.80412661965164,-1.8237014338241615,-1.7635570363879107,-4.590942930087965,-4.89704394132778,-0.8854392493536335,-1.660642847874115
0.54,1.25,23.64948699527048,23.532268755221153,6.731812187385096,7.505984761361503,-6.4720747885349414,-6.501728224293043,0.9048851662272391,0.8804486698043377,-0.6232980702464352,-0.1896044674805335
0.54,1.75,18.46830372107893,18.632821761919303,-0.8918066620010436,-1.3109398781811379,-13.57737518904594,-13.3867654364929,4.44058846134822,3.9769290199702,-2.1239531788671004,-1.5017985694884821
