triad_id,w33_points,n12_points,cover_size,cover12,cover_symbols,bitmask
325,19 20 21,F35 C32 C10,12,True,0123456789ab,4095
326,19 22 34,F35 C23 C19,12,True,0123456789ab,4095
327,19 23 36,F35 C25 C15,9,False,3456789ab,4088
328,19 25 31,F35 C34 C20,12,True,0123456789ab,4095
329,19 26 33,F35 C12 C07,12,True,0123456789ab,4095
330,19 28 37,F35 C05 C09,12,True,0123456789ab,4095
331,19 29 39,F35 C11 C21,12,True,0123456789ab,4095
332,20 22 36,C32 C23 C15,12,True,0123456789ab,4095
333,20 23 35,C32 C25 C29,12,True,0123456789ab,4095
334,20 25 33,C32 C34 C07,12,True,0123456789ab,4095
335,20 27 31,C32 C37 C20,12,True,0123456789ab,4095
336,20 29 38,C32 C11 X36,12,True,0123456789ab,4095
337,20 30 37,C32 C18 C09,12,True,0123456789ab,4095
338,21 22 35,C10 C23 C29,9,False,012345678,511
339,21 23 34,C10 C25 C19,9,False,3456789ab,4088
340,21 26 31,C10 C12 C20,9,False,012345678,511
341,21 27 33,C10 C37 C07,9,False,3456789ab,4088
342,21 28 38,C10 C05 X36,12,True,0123456789ab,4095
343,21 30 39,C10 C18 C21,12,True,0123456789ab,4095
344,23 25 30,C25 C34 C18,12,True,0123456789ab,4095
345,23 26 29,C25 C12 C11,12,True,0123456789ab,4095
346,23 27 28,C25 C37 C05,12,True,0123456789ab,4095
347,24 25 29,C24 C34 C11,12,True,0123456789ab,4095
348,24 26 28,C24 C12 C05,12,True,0123456789ab,4095
349,24 27 30,C24 C37 C18,9,False,3456789ab,4088
350,25 26 27,C34 C12 C37,12,True,0123456789ab,4095
351,28 29 30,C05 C11 C18,12,True,0123456789ab,4095
352,32 34 39,X35 C19 C21,12,True,0123456789ab,4095
353,32 35 38,X35 C29 X36,9,False,3456789ab,4088
354,32 36 37,X35 C15 C09,12,True,0123456789ab,4095
355,33 34 38,C07 C19 X36,6,False,6789ab,4032
356,33 35 37,C07 C29 C09,12,True,0123456789ab,4095
357,33 36 39,C07 C15 C21,12,True,0123456789ab,4095
358,34 35 36,C19 C29 C15,9,False,3456789ab,4088
359,37 38 39,C09 X36 C21,12,True,0123456789ab,4095
