tetra_id,Pi_family_S6,Pi_type_single_double,rank_block,rank_block_P1F9,rank_block_triads,points,points_rank_suit,suits_by_rank_order,suit_pattern_sorted
31,syntheme,double,"[0, 5, 6, 8]","['∞', '2', '1+2a', '1a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 4, 6], [2, 3, 5]], [[1, 3, 4], [2, 5, 6]]]","[3, 30, 34, 38]","['0:3', '5:2', '6:2', '8:2']","[3, 2, 2, 2]","[2, 2, 2, 3]"
32,syntheme,double,"[0, 5, 7, 9]","['∞', '2', '1+1a', '2a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 3, 5], [2, 4, 6]], [[1, 5, 6], [2, 3, 4]]]","[0, 14, 18, 34]","['0:0', '5:2', '7:2', '9:2']","[0, 2, 2, 2]","[0, 2, 2, 2]"
33,syntheme,double,"[0, 5, 7, 9]","['∞', '2', '1+1a', '2a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 3, 5], [2, 4, 6]], [[1, 5, 6], [2, 3, 4]]]","[1, 15, 27, 39]","['0:1', '5:3', '7:3', '9:3']","[1, 3, 3, 3]","[1, 3, 3, 3]"
34,syntheme,double,"[0, 5, 7, 9]","['∞', '2', '1+1a', '2a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 3, 5], [2, 4, 6]], [[1, 5, 6], [2, 3, 4]]]","[2, 12, 24, 36]","['0:2', '5:0', '7:0', '9:0']","[2, 0, 0, 0]","[0, 0, 0, 2]"
35,syntheme,double,"[0, 5, 7, 9]","['∞', '2', '1+1a', '2a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 3, 5], [2, 4, 6]], [[1, 5, 6], [2, 3, 4]]]","[3, 29, 33, 37]","['0:3', '5:1', '7:1', '9:1']","[3, 1, 1, 1]","[1, 1, 1, 3]"
36,duad,single,"[1, 2, 3, 4]","['0', '1', '2+1a', '2+2a']","[[[1, 2, 4], [3, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 4, 5], [2, 3, 6]]]","[5, 11, 26, 28]","['1:1', '2:2', '3:0', '4:3']","[1, 2, 0, 3]","[0, 1, 2, 3]"
37,duad,single,"[1, 2, 3, 4]","['0', '1', '2+1a', '2+2a']","[[[1, 2, 4], [3, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 4, 5], [2, 3, 6]]]","[6, 19, 20, 25]","['1:2', '2:1', '3:3', '4:0']","[2, 1, 3, 0]","[0, 1, 2, 3]"
38,syntheme,double,"[1, 2, 6, 9]","['0', '1', '1+2a', '2a']","[[[1, 2, 4], [3, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 4, 6], [2, 3, 5]], [[1, 5, 6], [2, 3, 4]]]","[4, 18, 25, 31]","['1:0', '2:1', '6:3', '9:2']","[0, 1, 3, 2]","[0, 1, 2, 3]"
39,syntheme,double,"[1, 2, 6, 9]","['0', '1', '1+2a', '2a']","[[[1, 2, 4], [3, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 4, 6], [2, 3, 5]], [[1, 5, 6], [2, 3, 4]]]","[5, 23, 24, 38]","['1:1', '2:3', '6:2', '9:0']","[1, 3, 2, 0]","[0, 1, 2, 3]"
40,syntheme,double,"[1, 2, 6, 9]","['0', '1', '1+2a', '2a']","[[[1, 2, 4], [3, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 4, 6], [2, 3, 5]], [[1, 5, 6], [2, 3, 4]]]","[6, 8, 13, 27]","['1:2', '2:0', '6:1', '9:3']","[2, 0, 1, 3]","[0, 1, 2, 3]"
