u,v,z2_voltage,s3_perm,s3_class,s3_sign
13,5,0,"(0, 1, 2)",id,0
13,6,0,"(0, 1, 2)",id,0
13,8,1,"(1, 0, 2)",transposition,1
13,9,0,"(0, 1, 2)",id,0
13,10,0,"(1, 0, 2)",transposition,1
13,11,0,"(0, 1, 2)",id,0
13,12,0,"(0, 1, 2)",id,0
13,14,0,"(0, 1, 2)",id,0
13,15,0,"(0, 1, 2)",id,0
13,16,0,"(0, 1, 2)",id,0
13,17,1,"(2, 1, 0)",transposition,1
13,20,1,"(0, 1, 2)",id,0
13,21,0,"(0, 1, 2)",id,0
13,22,0,"(0, 1, 2)",id,0
13,23,1,"(0, 1, 2)",id,0
13,26,1,"(1, 2, 0)",3-cycle,0
13,27,1,"(1, 0, 2)",transposition,1
13,29,0,"(0, 1, 2)",id,0
13,30,0,"(0, 1, 2)",id,0
13,32,1,"(1, 0, 2)",transposition,1
13,33,1,"(1, 0, 2)",transposition,1
13,34,0,"(2, 0, 1)",3-cycle,0
13,36,0,"(0, 1, 2)",id,0
13,37,0,"(0, 2, 1)",transposition,1
13,38,0,"(0, 1, 2)",id,0
13,39,1,"(1, 0, 2)",transposition,1
13,41,0,"(0, 1, 2)",id,0
13,43,1,"(2, 1, 0)",transposition,1
13,44,0,"(0, 1, 2)",id,0
14,0,0,"(0, 1, 2)",id,0
14,1,1,"(2, 0, 1)",3-cycle,0
14,4,1,"(1, 0, 2)",transposition,1
14,5,0,"(0, 1, 2)",id,0
14,6,0,"(0, 1, 2)",id,0
14,7,1,"(1, 0, 2)",transposition,1
14,9,0,"(0, 1, 2)",id,0
14,10,0,"(2, 0, 1)",3-cycle,0
14,11,0,"(0, 1, 2)",id,0
14,12,0,"(0, 1, 2)",id,0
14,13,0,"(0, 1, 2)",id,0
14,15,0,"(0, 1, 2)",id,0
14,16,0,"(0, 1, 2)",id,0
14,18,1,"(1, 2, 0)",3-cycle,0
14,19,1,"(2, 0, 1)",3-cycle,0
14,21,0,"(0, 1, 2)",id,0
14,22,0,"(0, 1, 2)",id,0
14,24,1,"(0, 2, 1)",transposition,1
14,25,1,"(1, 2, 0)",3-cycle,0
14,28,1,"(2, 0, 1)",3-cycle,0
14,29,0,"(0, 1, 2)",id,0
14,30,0,"(0, 1, 2)",id,0
14,31,1,"(2, 1, 0)",transposition,1
14,33,0,"(2, 1, 0)",transposition,1
14,34,1,"(0, 1, 2)",id,0
14,36,1,"(0, 2, 1)",transposition,1
14,37,1,"(0, 1, 2)",id,0
14,38,1,"(0, 1, 2)",id,0
14,39,0,"(1, 0, 2)",transposition,1
14,41,1,"(0, 1, 2)",id,0
14,43,0,"(0, 2, 1)",transposition,1
14,44,1,"(0, 1, 2)",id,0
15,0,0,"(0, 1, 2)",id,0
15,2,1,"(2, 0, 1)",3-cycle,0
15,4,1,"(2, 0, 1)",3-cycle,0
15,5,1,"(1, 0, 2)",transposition,1
15,7,0,"(0, 1, 2)",id,0
15,8,0,"(0, 1, 2)",id,0
15,9,0,"(0, 1, 2)",id,0
15,10,0,"(0, 2, 1)",transposition,1
15,11,0,"(2, 1, 0)",transposition,1
15,12,0,"(2, 1, 0)",transposition,1
15,13,0,"(0, 1, 2)",id,0
15,14,0,"(0, 1, 2)",id,0
15,16,0,"(0, 1, 2)",id,0
15,17,1,"(0, 2, 1)",transposition,1
15,19,1,"(2, 1, 0)",transposition,1
15,22,1,"(2, 1, 0)",transposition,1
15,23,0,"(0, 1, 2)",id,0
15,24,0,"(0, 1, 2)",id,0
15,26,1,"(0, 2, 1)",transposition,1
15,28,1,"(0, 1, 2)",id,0
15,29,1,"(2, 1, 0)",transposition,1
15,31,0,"(0, 1, 2)",id,0
15,32,0,"(0, 1, 2)",id,0
15,33,0,"(0, 1, 2)",id,0
15,35,1,"(0, 2, 1)",transposition,1
15,36,0,"(1, 2, 0)",3-cycle,0
15,37,0,"(1, 0, 2)",transposition,1
15,38,0,"(0, 1, 2)",id,0
15,40,0,"(0, 1, 2)",id,0
15,41,1,"(0, 2, 1)",transposition,1
15,42,1,"(0, 2, 1)",transposition,1
15,43,0,"(0, 2, 1)",transposition,1
16,0,0,"(0, 1, 2)",id,0
16,1,1,"(2, 1, 0)",transposition,1
16,3,1,"(2, 0, 1)",3-cycle,0
16,6,1,"(2, 0, 1)",3-cycle,0
16,7,0,"(0, 1, 2)",id,0
16,8,0,"(0, 1, 2)",id,0
16,9,0,"(0, 1, 2)",id,0
16,10,0,"(1, 2, 0)",3-cycle,0
16,11,0,"(2, 1, 0)",transposition,1
16,12,0,"(2, 1, 0)",transposition,1
16,13,0,"(0, 1, 2)",id,0
16,14,0,"(0, 1, 2)",id,0
16,15,0,"(0, 1, 2)",id,0
