lambda,mu,m,base_rank,branch,eigval,base_eigval,coin_slope,defect_mass,ipr,mult,defect_localized
0.0,-1.0,4,2,anti,3.667474994562208,3.667474994562208,-1.0,0.019016487648639474,0.047979961597091864,3,0
0.0,-1.0,4,2,sym,3.667474994562208,3.667474994562208,3.0,0.019016487648639474,0.047979961597091864,1,0
0.0,-1.0,2,2,anti,3.667474994562206,3.667474994562206,-1.0,0.01901648764863959,0.04797996159709182,3,0
0.0,-1.0,2,2,sym,3.667474994562206,3.667474994562206,3.0,0.01901648764863959,0.04797996159709182,1,0
0.0,-1.0,3,2,sym,3.667128472479398,3.667128472479398,3.0,0.018712247867523256,0.04823078487049884,1,0
0.0,-1.0,3,2,anti,3.667128472479398,3.667128472479398,-1.0,0.018712247867523256,0.04823078487049884,3,0
0.0,-1.0,3,3,sym,3.5403328287311684,3.5403328287311684,3.0,0.047988756315319535,0.04307570547954384,1,0
0.0,-1.0,3,3,anti,3.5403328287311684,3.5403328287311684,-1.0,0.047988756315319535,0.04307570547954384,3,0
0.0,-1.0,4,3,sym,3.5397119148824996,3.5397119148824996,3.0,0.05053272179039534,0.0434178815502297,1,0
0.0,-1.0,2,3,anti,3.5397119148824996,3.5397119148824996,-1.0,0.05053272179039513,0.04341788155022968,3,0
0.0,-1.0,2,3,sym,3.5397119148824996,3.5397119148824996,3.0,0.05053272179039513,0.04341788155022968,1,0
0.0,-1.0,4,3,anti,3.5397119148824996,3.5397119148824996,-1.0,0.05053272179039534,0.0434178815502297,3,0
0.0,-1.0,1,3,sym,3.537564499366607,3.537564499366607,3.0,0.055067390572188867,0.04608206326419643,1,0
0.0,-1.0,1,3,anti,3.537564499366607,3.537564499366607,-1.0,0.055067390572188867,0.04608206326419643,3,0
0.0,-1.0,5,3,sym,3.537564499366607,3.537564499366607,3.0,0.055067390572188867,0.04608206326419643,1,0
0.0,-1.0,5,3,anti,3.537564499366607,3.537564499366607,-1.0,0.055067390572188867,0.04608206326419643,3,0
0.0,-1.0,0,3,sym,3.535965724806731,3.535965724806731,3.0,0.05698788861460256,0.04869300106297708,1,0
0.0,-1.0,0,3,anti,3.535965724806731,3.535965724806731,-1.0,0.05698788861460256,0.04869300106297708,3,0
0.0,-1.0,0,4,anti,3.2070398536854987,3.2070398536854987,-1.0,0.17457879502370474,0.03838452679956958,3,0
0.0,-1.0,0,4,sym,3.2070398536854987,3.2070398536854987,3.0,0.17457879502370474,0.03838452679956958,1,0
0.0,-1.0,1,4,sym,3.184491320370271,3.184491320370271,3.0,0.14165427402778233,0.043250542337031656,1,0
0.0,-1.0,1,4,anti,3.184491320370271,3.184491320370271,-1.0,0.14165427402778233,0.043250542337031656,3,0
0.0,-0.5,0,1,sym,4.746644609844654,4.746644609844654,3.0,0.08885803776818751,0.035969162232311044,1,0
0.0,-0.5,0,1,anti,4.746644609844654,4.746644609844654,-1.0,0.08885803776818751,0.035969162232311044,3,0
0.0,-0.5,1,1,sym,4.723952240270475,4.723952240270475,3.0,0.07408382681308767,0.03644225324858553,1,0
0.0,-0.5,5,1,anti,4.723952240270475,4.723952240270475,-1.0,0.07408382681308767,0.03644225324858553,3,0
0.0,-0.5,5,1,sym,4.723952240270475,4.723952240270475,3.0,0.07408382681308767,0.03644225324858553,1,0
0.0,-0.5,1,1,anti,4.723952240270475,4.723952240270475,-1.0,0.07408382681308767,0.03644225324858553,3,0
0.0,-0.5,4,1,anti,4.67795814802622,4.67795814802622,-1.0,0.042656482577750315,0.03791203151355368,3,0
0.0,-0.5,4,1,sym,4.67795814802622,4.67795814802622,3.0,0.042656482577750315,0.03791203151355368,1,0
0.0,-0.5,2,1,anti,4.6779581480262165,4.6779581480262165,-1.0,0.04265648257775057,0.037912031513553664,3,0
0.0,-0.5,2,1,sym,4.6779581480262165,4.6779581480262165,3.0,0.04265648257775057,0.037912031513553664,1,0
0.0,-0.5,3,1,anti,4.654706610709927,4.654706610709927,-1.0,0.026041589975154163,0.03894989154805692,3,0
0.0,-0.5,3,1,sym,4.654706610709927,4.654706610709927,3.0,0.026041589975154163,0.03894989154805692,1,0
0.0,-0.5,1,2,sym,3.6795006982256937,3.6795006982256937,3.0,0.02779696072672973,0.04678164354075157,1,0
0.0,-0.5,1,2,anti,3.6795006982256937,3.6795006982256937,-1.0,0.02779696072672973,0.04678164354075157,3,0
0.0,-0.5,5,2,anti,3.6795006982256937,3.6795006982256937,-1.0,0.02779696072672973,0.04678164354075157,3,0
0.0,-0.5,5,2,sym,3.6795006982256937,3.6795006982256937,3.0,0.02779696072672973,0.04678164354075157,1,0
0.0,-0.5,0,2,sym,3.6793958660225754,3.6793958660225754,3.0,0.0262175377434878,0.04787619420949699,1,0
0.0,-0.5,0,2,anti,3.6793958660225754,3.6793958660225754,-1.0,0.0262175377434878,0.04787619420949699,3,0
0.0,-0.5,4,2,anti,3.678866406486666,3.678866406486666,-1.0,0.027647751750875957,0.046475790847359685,3,0
0.0,-0.5,4,2,sym,3.678866406486666,3.678866406486666,3.0,0.027647751750875957,0.046475790847359685,1,0
0.0,-0.5,2,2,sym,3.6788664064866645,3.6788664064866645,3.0,0.02764775175087585,0.04647579084735973,1,0
0.0,-0.5,2,2,anti,3.6788664064866645,3.6788664064866645,-1.0,0.02764775175087585,0.04647579084735973,3,0
0.0,-0.5,3,2,anti,3.6781884720580957,3.6781884720580957,-1.0,0.02626850326457759,0.047298306907104376,3,0
0.0,-0.5,3,2,sym,3.6781884720580957,3.6781884720580957,3.0,0.02626850326457759,0.047298306907104376,1,0
0.0,-0.5,0,3,sym,3.581374550288313,3.581374550288313,3.0,0.14063273184960678,0.04745374568080978,1,0
0.0,-0.5,0,3,anti,3.581374550288313,3.581374550288313,-1.0,0.14063273184960678,0.04745374568080978,3,0
0.0,-0.5,1,3,anti,3.5801719552517417,3.5801719552517417,-1.0,0.12936510941912213,0.04235591955447279,3,0
0.0,-0.5,1,3,sym,3.5801719552517417,3.5801719552517417,3.0,0.12936510941912213,0.04235591955447279,1,0
0.0,-0.5,5,3,sym,3.5801719552517417,3.5801719552517417,3.0,0.12936510941912213,0.04235591955447279,1,0
0.0,-0.5,5,3,anti,3.5801719552517417,3.5801719552517417,-1.0,0.12936510941912213,0.04235591955447279,3,0
0.0,-0.5,4,3,anti,3.5768718368890227,3.5768718368890227,-1.0,0.1090826979755723,0.038859023779885794,3,0
0.0,-0.5,4,3,sym,3.5768718368890227,3.5768718368890227,3.0,0.1090826979755723,0.038859023779885794,1,0
0.0,-0.5,2,3,anti,3.5768718368890218,3.5768718368890218,-1.0,0.10908269797557169,0.038859023779885836,3,0
0.0,-0.5,2,3,sym,3.5768718368890218,3.5768718368890218,3.0,0.10908269797557169,0.038859023779885836,1,0
0.0,-0.5,3,3,sym,3.574788194316084,3.574788194316084,3.0,0.09951663369499567,0.03962892696149667,1,0
0.0,-0.5,3,3,anti,3.574788194316084,3.574788194316084,-1.0,0.09951663369499567,0.03962892696149667,3,0
0.0,-0.5,0,4,anti,3.31723230275461,3.31723230275461,-1.0,0.2404622992199247,0.034192085733203696,3,1
0.0,-0.5,0,4,sym,3.31723230275461,3.31723230275461,3.0,0.2404622992199247,0.034192085733203696,1,1
0.0,-0.5,1,4,sym,3.288090117340477,3.288090117340477,3.0,0.2500156186292649,0.033558306536472945,1,1
0.0,-0.5,1,4,anti,3.288090117340477,3.288090117340477,-1.0,0.2500156186292649,0.033558306536472945,3,1
0.0,0.0,0,1,sym,4.802493312043023,4.802493312043023,3.0,0.13947059371059545,0.03503038453368795,1,0
0.0,0.0,0,1,anti,4.802493312043023,4.802493312043023,-1.0,0.13947059371059545,0.03503038453368795,3,0
0.0,0.0,1,1,sym,4.770531255977426,4.770531255977426,3.0,0.11664547396193398,0.035281010161575366,1,0
