potential,m,branch,mu_cross_mass0p6,max_defect_mass,max_ipr,eigval_mu_minus2,eigval_mu_plus2,defect_mass_mu_plus2,O6_mass_mu_plus2,O12_mass_mu_plus2,bias_mu_plus2,slope_mu_ge_1p5,localized_mass0p6,min_overlap,median_overlap
V_O6_4,4,5,,0.4448752639513474,0.05105423105076918,2.871384605559183,3.0951911487670904,0.4448752639513474,0.3369038797008986,0.1772364308696382,O6,0.24163016399674625,0,0.9997045865555225,0.9999909984844284
V_O6_4,4,6,,0.20630359180095045,0.04010421493593851,2.64113325066515,2.918282012185311,0.2009605250851192,0.14576105674890183,0.07033042989723133,O6,0.14033516523721012,0,0.9996542809483168,0.9999519895980044
V_O6_4,4,7,,0.19017497147094403,0.04226366981947504,2.496631492170612,2.6984924222706246,0.1901624079947636,0.1441219650829807,0.09378646966144169,O6,0.12147753859637817,0,0.9997295994644364,0.9999645475604144
V_O6_4,4,8,,0.23160874911730986,0.04809026862559069,2.1174577125733496,2.6101702315601565,0.14741072686276185,0.12701188090272122,0.03203536682628284,O6,0.1309668707784575,0,0.9998563834479192,0.9998988571837432
V_O6_4,4,9,,0.35807645723702586,0.046318137048080875,1.9814993208429579,2.455817872765628,0.2018958114346687,0.19608696756580749,0.06249049103621606,O6,0.2470922289506793,0,0.9997780528672164,0.9998772826902285
V_O6_4,4,10,,0.26552532927337186,0.048063245807319764,1.8381894233699076,2.0707968389922917,0.26552532927337186,0.2192448687426608,0.07460776974196581,O6,0.15600492113590564,0,0.9991504812053746,0.9999065776987098
V_O6_4,4,11,,0.13475720177178085,0.0373970256345659,1.73815568978742,1.9641324890729281,0.05281497166604744,0.03715456219143951,0.016717444278269628,O6,0.07390194012390786,0,0.9990957908703583,0.9999311395354556
V_O6_4,4,12,,0.25022882739148367,0.033293312639394584,1.5914805953018076,1.877188263405936,0.1470554421239858,0.09831658816219399,0.07221799020713635,O6,0.14834405070952572,0,0.9976689592276168,0.9999547613713307
V_O6_4,4,13,,0.26228585213788247,0.04387260897796288,1.4965885879924254,1.7452821041140836,0.10321178119241375,0.06858293378463053,0.0647679812593805,O6,0.05944263229873474,0,0.9958944769455685,0.9999529368271906
V_O6_4,4,14,,0.1708236182245429,0.040121202736516905,1.3749202443681363,1.608253934654042,0.12280713899128914,0.0423091153501662,0.09451181107788176,O12,0.04355389574488195,0,0.9959189892087289,0.9999493932436399
V_O6_4,4,15,,0.1905396501131086,0.04469509585077084,1.2260039174245574,1.4773524376447842,0.1905396501131086,0.093724931320255,0.14887907548339527,O12,0.09332341336486853,0,0.9998125231766676,0.9999281524514315
V_O6_4,4,16,,0.1001829903662342,0.050822294629470036,1.1199685416665388,1.3017054522289464,0.08126373326992126,0.06725047002437132,0.039067531299309545,O6,0.06380176143543904,0,0.999718528221968,0.9999064186401821
V_O6_4,4,17,,0.14588664608162216,0.05513689364940767,1.0766653286244796,1.2600606401200727,0.14588664608162216,0.09098734587597658,0.05721331893142053,O6,0.08774071705879204,0,0.9996437334781347,0.9998176319453692
V_O6_4,4,18,,0.22420004691736736,0.05291603025937885,0.9473697819131738,1.1317766665287396,0.09070140741667838,0.03740694731285316,0.058715739549602575,O12,0.03868000424489028,0,0.9983730524770169,0.9998068722205974
V_O6_4,4,19,,0.2507077923529772,0.051569244916933266,0.8738352357965266,1.052741972177568,0.16425658903603058,0.06624410287601942,0.09816081493792249,O12,0.05152699613339316,0,0.9887165705376664,0.9998465534099995
V_O6_minus_O12,2,0,,0.3384461139701575,0.057471494459361686,4.9174945815261255,4.705507525760563,0.13322188456795264,0.11195683248202215,0.038695682794838725,O6,0.03587266944459278,0,0.9999199774823146,0.9999946123847675
V_O6_minus_O12,2,1,1.4000000000000004,0.7021625365141355,0.1402309773057132,4.318209474647714,4.2241046278700205,0.6989155431833132,0.678034535326872,0.08669807423005191,O6,0.5513838287811045,1,0.9989930087097291,0.9998865483611122
V_O6_minus_O12,2,2,,0.258483250640966,0.04445968140548113,3.7551758295085143,3.6677802168170306,0.05784396258741013,0.04575692138332542,0.012979031618028344,O6,0.024197144542577584,0,0.9989865552400011,0.9999048776088757
V_O6_minus_O12,2,3,,0.2708654894573824,0.043064054869507935,3.518875878671015,3.511618187941406,0.049285081140271164,0.038309765946642746,0.014200665657224892,O6,0.03305845761557094,0,0.9998460593629916,0.9999390556907488
V_O6_minus_O12,2,4,,0.09571253698554259,0.03878175476944584,3.2055751894418583,3.1423157789625034,0.09571253698554259,0.08717428865066679,0.016386404262467544,O6,0.03828003759481056,0,0.9998877496578318,0.9999798572548462
V_O6_minus_O12,2,5,,0.24888643920366713,0.04453177800836359,2.997185830277529,2.917759481298876,0.24888643920366713,0.23223836263900047,0.025816487690472595,O6,0.10846147104310576,0,0.9993625788237666,0.9999558412809133
V_O6_minus_O12,2,6,,0.1855149321766994,0.04837744547489911,2.8212786020540044,2.808089951091482,0.14655130408166267,0.11123055244459673,0.04050863954864012,O6,0.09152373237716524,0,0.9993656660697913,0.9999039718857421
V_O6_minus_O12,2,7,,0.1521917749724353,0.05192342648665663,2.673196041492091,2.6170955405217415,0.12029314986525064,0.1125446207829294,0.01044477656917983,O6,0.08772523525194048,0,0.999529260626114,0.9999191487575125
V_O6_minus_O12,2,8,,0.22782987576584796,0.05340373968832584,2.3923774719665034,2.5268230807132017,0.06847739790691156,0.05357264652459787,0.020290380135392635,O6,0.06326037779847189,0,0.9996019994184637,0.999880705343055
V_O6_minus_O12,2,9,,0.3993873043645182,0.05228914466872393,2.1191301474517474,2.2364638818469467,0.37048097351761977,0.3367522963373921,0.09254083212006785,O6,0.24415353822376737,0,0.9883917806345683,0.9998508186910661
V_O6_minus_O12,2,10,,0.23574819785845746,0.043525627804654354,1.989851943482961,1.9883939321525654,0.08851298434811589,0.08324926304216035,0.01626850650662455,O6,0.033812681165882486,0,0.9883890636467854,0.9999027569558839
V_O6_minus_O12,2,11,,0.18079124786038966,0.03921855292047296,1.8906185806885043,1.9130364886421254,0.1465206782042271,0.12631445734824717,0.038901616807580426,O6,0.05737464874942409,0,0.9964479525604296,0.9998171802307837
V_O6_minus_O12,2,12,,0.21656321063558331,0.03580353371849066,1.745701653059801,1.8167610699799568,0.09205953632078977,0.08383524145685656,0.011673598896614436,O6,0.1334139855557512,0,0.9977110002531924,0.9998077803408445
V_O6_minus_O12,2,13,,0.2174015669733411,0.0506872301352938,1.6097721557546587,1.6414253154431413,0.07143308425494777,0.06041804405656753,0.03262658522177938,O6,0.019177497664822966,0,0.9968668354786187,0.9997869484859205
V_O6_minus_O12,2,14,,0.1797170883426232,0.057418151666856536,1.5334349030874392,1.463044092241244,0.10506008857535933,0.07375514708781589,0.062047895170125475,O6,0.0032996508799819314,0,0.996821750216364,0.9999072102445922
V_O6_minus_O12,2,15,,0.1186755365376847,0.04439091131185976,1.3461158736885488,1.3262712205088305,0.04305265118419548,0.019174740259964747,0.02651471142662047,O12,-0.003316983871126872,0,0.9997611159236895,0.9998129861640364
V_O6_minus_O12,2,16,,0.0998848869579895,0.04844629087272409,1.2229968488804686,1.2284241749658331,0.04086063798621515,0.03456951582991809,0.013022560762318943,O6,0.0223851130936524,0,0.9997603466126859,0.9998274976030287
V_O6_minus_O12,2,17,,0.18507265340048384,0.06491064577926561,1.1749380475235822,1.1535421795287855,0.18507265340048384,0.16396312258548007,0.08228864270594105,O6,0.043887471753014114,0,0.9996522072611195,0.9998712767201133
V_O6_minus_O12,2,18,,0.22397384459348668,0.051359266611261736,1.043847806789294,1.0836813957163551,0.030285089661512176,0.02121520198702794,0.009127229426088132,O6,0.017650077200162945,0,0.9988766724724126,0.9998288542550965
V_O6_minus_O12,2,19,,0.2970915156728376,0.05075001207480291,0.9801592564596384,1.0204209484522218,0.14021616759159003,0.13800460545257204,0.004803762750773412,O6,0.16182339425392117,0,0.9959036152545735,0.9996914093936636
V_O6_minus_O12,3,0,,0.16606843519595643,0.05101255416882154,4.777169087547601,4.650187700123328,0.030826503733067334,0.01908798141886066,0.014395339671743336,O6,-0.0007584977604169358,0,0.9998995362395898,0.9999985857164998
V_O6_minus_O12,3,1,-2.0,0.8394859358648717,0.19748982628274753,4.429857421563652,4.235383331033715,0.8394859358648717,0.809127346024712,0.11285140100468014,O6,0.6284637313430755,1,0.9989348437916895,0.9998482605760701
V_O6_minus_O12,3,2,,0.27549690282377487,0.04751561764874208,3.780962070350434,3.6756489834782005,0.05295172769376992,0.045450930413191516,0.008844261112896535,O6,0.030634494570806962,0,0.9989290468716603,0.9998646308834072
V_O6_minus_O12,3,3,,0.3525936947703976,0.06163388913080185,3.503421158605552,3.5312912992111776,0.04387991427836191,0.030622193518430797,0.017602154296018212,O6,0.01958502228464722,0,0.999649134403615,0.9999268943594783
V_O6_minus_O12,3,4,,0.09559981515580857,0.043497144128717635,3.2255162618704802,3.1589638932878117,0.08726904031525948,0.08333368600091709,0.016165989021973727,O6,0.04056614791867812,0,0.9999147815693875,0.9999812390028813
V_O6_minus_O12,3,5,,0.18476854456815178,0.04543489056880911,3.0305772418143375,2.9113440482844317,0.18476854456815178,0.17365213763778975,0.018534288545569138,O6,0.07842225516281906,0,0.9995033021157183,0.9999472584444772
V_O6_minus_O12,3,6,,0.21716411080451875,0.04804697944079705,2.8364658929698012,2.775380495827838,0.215215727322399,0.17476800254532782,0.04119928249827991,O6,0.10404364442392305,0,0.9993634982993257,0.999934017476551
