u,v,flip_support_4set,delta_from_nodes,removed_pairs,added_pairs,removed_phase_sum_mod8,added_phase_sum_mod8,delta_from_pair_phase_diff_mod8,ok,support_list,rem_idx,add_idx
20,38,1 2 7 10,2,"[(1, 2), (7, 10)]","[(1, 10), (2, 7)]",6,0,2,1,"[1, 2, 7, 10]",0,2
20,40,0 3 8 9,0,"[(0, 8), (3, 9)]","[(0, 9), (3, 8)]",6,6,0,1,"[0, 3, 8, 9]",1,2
20,44,6 7 10 11,2,"[(6, 11), (7, 10)]","[(6, 7), (10, 11)]",0,2,2,1,"[6, 7, 10, 11]",2,0
21,37,4 5 6 9,0,"[(4, 5), (6, 9)]","[(4, 6), (5, 9)]",0,0,0,1,"[4, 5, 6, 9]",0,1
22,25,2 3 7 10,0,"[(2, 3), (7, 10)]","[(2, 7), (3, 10)]",6,6,0,1,"[2, 3, 7, 10]",0,1
22,28,6 7 10 11,2,"[(6, 11), (7, 10)]","[(6, 7), (10, 11)]",0,2,2,1,"[6, 7, 10, 11]",2,0
23,29,1 4 6 9,0,"[(1, 4), (6, 9)]","[(1, 9), (4, 6)]",0,0,0,1,"[1, 4, 6, 9]",0,2
23,34,3 6 9 11,2,"[(3, 11), (6, 9)]","[(3, 9), (6, 11)]",6,0,2,1,"[3, 6, 9, 11]",2,1
23,53,5 6 9 10,0,"[(5, 10), (6, 9)]","[(5, 9), (6, 10)]",0,0,0,1,"[5, 6, 9, 10]",2,1
24,25,1 4 5 9,0,"[(1, 9), (4, 5)]","[(1, 4), (5, 9)]",0,0,0,1,"[1, 4, 5, 9]",2,0
24,38,1 3 9 10,0,"[(1, 9), (3, 10)]","[(1, 10), (3, 9)]",6,6,0,1,"[1, 3, 9, 10]",1,2
24,47,0 1 8 9,0,"[(0, 8), (1, 9)]","[(0, 9), (1, 8)]",0,0,0,1,"[0, 1, 8, 9]",1,2
24,52,3 6 10 11,6,"[(3, 10), (6, 11)]","[(3, 11), (6, 10)]",0,6,6,1,"[3, 6, 10, 11]",1,2
25,34,3 5 9 10,0,"[(3, 10), (5, 9)]","[(3, 9), (5, 10)]",6,6,0,1,"[3, 5, 9, 10]",2,1
25,53,3 6 10 11,6,"[(3, 10), (6, 11)]","[(3, 11), (6, 10)]",0,6,6,1,"[3, 6, 10, 11]",1,2
26,27,3 7 10 11,4,"[(3, 7), (10, 11)]","[(3, 11), (7, 10)]",0,4,4,1,"[3, 7, 10, 11]",0,2
26,35,1 2 3 7,0,"[(1, 2), (3, 7)]","[(1, 3), (2, 7)]",0,0,0,1,"[1, 2, 3, 7]",0,1
26,44,3 6 7 9,0,"[(3, 7), (6, 9)]","[(3, 9), (6, 7)]",0,0,0,1,"[3, 6, 7, 9]",1,2
27,45,6 7 9 10,4,"[(6, 9), (7, 10)]","[(6, 7), (9, 10)]",6,2,4,1,"[6, 7, 9, 10]",1,0
28,42,1 4 5 9,0,"[(1, 4), (5, 9)]","[(1, 9), (4, 5)]",0,0,0,1,"[1, 4, 5, 9]",0,2
29,52,4 5 6 10,0,"[(4, 6), (5, 10)]","[(4, 5), (6, 10)]",0,0,0,1,"[4, 5, 6, 10]",1,0
30,41,1 7 8 10,0,"[(1, 10), (7, 8)]","[(1, 8), (7, 10)]",6,6,0,1,"[1, 7, 8, 10]",2,1
30,55,1 4 5 10,0,"[(1, 10), (4, 5)]","[(1, 4), (5, 10)]",0,0,0,1,"[1, 4, 5, 10]",2,0
30,56,2 3 7 8,0,"[(2, 3), (7, 8)]","[(2, 7), (3, 8)]",6,6,0,1,"[2, 3, 7, 8]",0,1
31,43,3 6 7 11,6,"[(3, 7), (6, 11)]","[(3, 11), (6, 7)]",2,0,6,1,"[3, 6, 7, 11]",1,2
31,48,0 4 8 9,0,"[(0, 9), (4, 8)]","[(0, 8), (4, 9)]",6,6,0,1,"[0, 4, 8, 9]",2,1
32,56,0 1 9 10,0,"[(0, 1), (9, 10)]","[(0, 9), (1, 10)]",0,0,0,1,"[0, 1, 9, 10]",0,1
33,35,4 5 6 9,0,"[(4, 6), (5, 9)]","[(4, 5), (6, 9)]",0,0,0,1,"[4, 5, 6, 9]",1,0
33,51,0 1 3 8,6,"[(0, 8), (1, 3)]","[(0, 1), (3, 8)]",0,6,6,1,"[0, 1, 3, 8]",2,0
34,38,1 4 5 10,0,"[(1, 4), (5, 10)]","[(1, 10), (4, 5)]",0,0,0,1,"[1, 4, 5, 10]",0,2
34,50,0 1 4 8,6,"[(0, 8), (1, 4)]","[(0, 1), (4, 8)]",0,6,6,1,"[0, 1, 4, 8]",2,0
34,54,1 3 4 9,0,"[(1, 4), (3, 9)]","[(1, 3), (4, 9)]",6,6,0,1,"[1, 3, 4, 9]",1,0
36,43,4 6 7 8,2,"[(4, 6), (7, 8)]","[(4, 8), (6, 7)]",6,0,2,1,"[4, 6, 7, 8]",0,2
36,46,4 5 6 10,0,"[(4, 6), (5, 10)]","[(4, 5), (6, 10)]",0,0,0,1,"[4, 5, 6, 10]",1,0
37,51,2 3 7 8,0,"[(2, 3), (7, 8)]","[(2, 7), (3, 8)]",6,6,0,1,"[2, 3, 7, 8]",0,1
38,56,0 3 8 9,0,"[(0, 8), (3, 9)]","[(0, 9), (3, 8)]",6,6,0,1,"[0, 3, 8, 9]",1,2
39,53,0 1 4 8,2,"[(0, 1), (4, 8)]","[(0, 8), (1, 4)]",6,0,2,1,"[0, 1, 4, 8]",0,2
40,41,1 2 3 8,2,"[(1, 2), (3, 8)]","[(1, 8), (2, 3)]",6,0,2,1,"[1, 2, 3, 8]",0,2
40,49,6 7 10 11,2,"[(6, 11), (7, 10)]","[(6, 7), (10, 11)]",0,2,2,1,"[6, 7, 10, 11]",2,0
40,56,1 2 7 10,2,"[(1, 2), (7, 10)]","[(1, 10), (2, 7)]",6,0,2,1,"[1, 2, 7, 10]",0,2
41,47,2 3 7 10,0,"[(2, 3), (7, 10)]","[(2, 7), (3, 10)]",6,6,0,1,"[2, 3, 7, 10]",0,1
41,58,6 7 10 11,2,"[(6, 11), (7, 10)]","[(6, 7), (10, 11)]",0,2,2,1,"[6, 7, 10, 11]",2,0
42,44,1 2 3 9,6,"[(1, 9), (2, 3)]","[(1, 2), (3, 9)]",0,6,6,1,"[1, 2, 3, 9]",2,0
42,58,0 1 8 9,0,"[(0, 8), (1, 9)]","[(0, 9), (1, 8)]",0,0,0,1,"[0, 1, 8, 9]",1,2
43,57,0 4 8 9,0,"[(0, 9), (4, 8)]","[(0, 8), (4, 9)]",6,6,0,1,"[0, 4, 8, 9]",2,1
44,45,3 9 10 11,0,"[(3, 9), (10, 11)]","[(3, 11), (9, 10)]",6,6,0,1,"[3, 9, 10, 11]",0,2
44,49,0 3 8 9,0,"[(0, 8), (3, 9)]","[(0, 9), (3, 8)]",6,6,0,1,"[0, 3, 8, 9]",1,2
45,57,4 5 9 10,6,"[(4, 5), (9, 10)]","[(4, 9), (5, 10)]",0,6,6,1,"[4, 5, 9, 10]",0,1
47,56,1 3 8 10,0,"[(1, 8), (3, 10)]","[(1, 10), (3, 8)]",6,6,0,1,"[1, 3, 8, 10]",1,2
48,54,1 2 3 7,0,"[(1, 2), (3, 7)]","[(1, 3), (2, 7)]",0,0,0,1,"[1, 2, 3, 7]",0,1
48,57,3 6 7 11,6,"[(3, 7), (6, 11)]","[(3, 11), (6, 7)]",2,0,6,1,"[3, 6, 7, 11]",1,2
49,58,1 2 3 8,2,"[(1, 2), (3, 8)]","[(1, 8), (2, 3)]",6,0,2,1,"[1, 2, 3, 8]",0,2
52,53,1 4 5 9,0,"[(1, 9), (4, 5)]","[(1, 4), (5, 9)]",0,0,0,1,"[1, 4, 5, 9]",2,0
