component_id,center_quad,outer_quad,triad_a,triad_b,triad_a_idx,triad_b_idx,excluded_a,excluded_b,edge_matching_idx,matching_pairs
42,5 13 23 33,0 16 17 18,0 16 17,0 16 18,9,10,18,17,0,"((0, 16), (17, 18))"
42,5 13 23 33,0 16 17 18,0 16 17,0 17 18,9,11,18,16,1,"((0, 17), (16, 18))"
42,5 13 23 33,0 16 17 18,0 16 17,16 17 18,9,306,18,0,2,"((0, 18), (16, 17))"
42,5 13 23 33,0 16 17 18,0 16 18,0 17 18,10,11,17,16,2,"((0, 18), (16, 17))"
42,5 13 23 33,0 16 17 18,0 16 18,16 17 18,10,306,17,0,1,"((0, 17), (16, 18))"
42,5 13 23 33,0 16 17 18,0 17 18,16 17 18,11,306,16,0,0,"((0, 16), (17, 18))"
43,5 14 24 31,0 34 35 36,0 34 35,0 34 36,21,22,36,35,0,"((0, 34), (35, 36))"
43,5 14 24 31,0 34 35 36,0 34 35,0 35 36,21,23,36,34,1,"((0, 35), (34, 36))"
43,5 14 24 31,0 34 35 36,0 34 35,34 35 36,21,358,36,0,2,"((0, 36), (34, 35))"
43,5 14 24 31,0 34 35 36,0 34 36,0 35 36,22,23,35,34,2,"((0, 36), (34, 35))"
43,5 14 24 31,0 34 35 36,0 34 36,34 35 36,22,358,35,0,1,"((0, 35), (34, 36))"
43,5 14 24 31,0 34 35 36,0 35 36,34 35 36,23,358,34,0,0,"((0, 34), (35, 36))"
44,5 15 22 32,0 25 26 27,0 25 26,0 25 27,15,16,27,26,0,"((0, 25), (26, 27))"
44,5 15 22 32,0 25 26 27,0 25 26,0 26 27,15,17,27,25,1,"((0, 26), (25, 27))"
44,5 15 22 32,0 25 26 27,0 25 26,25 26 27,15,350,27,0,2,"((0, 27), (25, 26))"
44,5 15 22 32,0 25 26 27,0 25 27,0 26 27,16,17,26,25,2,"((0, 27), (25, 26))"
44,5 15 22 32,0 25 26 27,0 25 27,25 26 27,16,350,26,0,1,"((0, 26), (25, 27))"
44,5 15 22 32,0 25 26 27,0 26 27,25 26 27,17,350,25,0,0,"((0, 25), (26, 27))"
45,5 19 29 39,6 16 27 35,6 16 27,6 16 35,157,158,35,27,0,"((6, 16), (27, 35))"
45,5 19 29 39,6 16 27 35,6 16 27,6 27 35,157,168,35,16,1,"((6, 27), (16, 35))"
45,5 19 29 39,6 16 27 35,6 16 27,16 27 35,157,310,35,6,2,"((6, 35), (16, 27))"
45,5 19 29 39,6 16 27 35,6 16 35,6 27 35,158,168,27,16,2,"((6, 35), (16, 27))"
45,5 19 29 39,6 16 27 35,6 16 35,16 27 35,158,310,27,6,1,"((6, 27), (16, 35))"
45,5 19 29 39,6 16 27 35,6 27 35,16 27 35,168,310,16,6,0,"((6, 16), (27, 35))"
46,5 20 30 37,6 18 26 34,6 18 26,6 18 34,161,162,34,26,0,"((6, 18), (26, 34))"
46,5 20 30 37,6 18 26 34,6 18 26,6 26 34,161,167,34,18,1,"((6, 26), (18, 34))"
46,5 20 30 37,6 18 26 34,6 18 26,18 26 34,161,321,34,6,2,"((6, 34), (18, 26))"
46,5 20 30 37,6 18 26 34,6 18 34,6 26 34,162,167,26,18,2,"((6, 34), (18, 26))"
46,5 20 30 37,6 18 26 34,6 18 34,18 26 34,162,321,26,6,1,"((6, 26), (18, 34))"
46,5 20 30 37,6 18 26 34,6 26 34,18 26 34,167,321,18,6,0,"((6, 18), (26, 34))"
47,5 21 28 38,6 17 25 36,6 17 25,6 17 36,159,160,36,25,0,"((6, 17), (25, 36))"
47,5 21 28 38,6 17 25 36,6 17 25,6 25 36,159,166,36,17,1,"((6, 25), (17, 36))"
47,5 21 28 38,6 17 25 36,6 17 25,17 25 36,159,315,36,6,2,"((6, 36), (17, 25))"
47,5 21 28 38,6 17 25 36,6 17 36,6 25 36,160,166,25,17,2,"((6, 36), (17, 25))"
47,5 21 28 38,6 17 25 36,6 17 36,17 25 36,160,315,25,6,1,"((6, 25), (17, 36))"
47,5 21 28 38,6 17 25 36,6 25 36,17 25 36,166,315,17,6,0,"((6, 17), (25, 36))"
48,6 13 24 32,0 19 20 21,0 19 20,0 19 21,12,13,21,20,0,"((0, 19), (20, 21))"
48,6 13 24 32,0 19 20 21,0 19 20,0 20 21,12,14,21,19,1,"((0, 20), (19, 21))"
48,6 13 24 32,0 19 20 21,0 19 20,19 20 21,12,325,21,0,2,"((0, 21), (19, 20))"
48,6 13 24 32,0 19 20 21,0 19 21,0 20 21,13,14,20,19,2,"((0, 21), (19, 20))"
48,6 13 24 32,0 19 20 21,0 19 21,19 20 21,13,325,20,0,1,"((0, 20), (19, 21))"
48,6 13 24 32,0 19 20 21,0 20 21,19 20 21,14,325,19,0,0,"((0, 19), (20, 21))"
49,6 14 22 33,0 28 29 30,0 28 29,0 28 30,18,19,30,29,0,"((0, 28), (29, 30))"
49,6 14 22 33,0 28 29 30,0 28 29,0 29 30,18,20,30,28,1,"((0, 29), (28, 30))"
49,6 14 22 33,0 28 29 30,0 28 29,28 29 30,18,351,30,0,2,"((0, 30), (28, 29))"
49,6 14 22 33,0 28 29 30,0 28 30,0 29 30,19,20,29,28,2,"((0, 30), (28, 29))"
49,6 14 22 33,0 28 29 30,0 28 30,28 29 30,19,351,29,0,1,"((0, 29), (28, 30))"
49,6 14 22 33,0 28 29 30,0 29 30,28 29 30,20,351,28,0,0,"((0, 28), (29, 30))"
50,6 15 23 31,0 37 38 39,0 37 38,0 37 39,24,25,39,38,0,"((0, 37), (38, 39))"
50,6 15 23 31,0 37 38 39,0 37 38,0 38 39,24,26,39,37,1,"((0, 38), (37, 39))"
50,6 15 23 31,0 37 38 39,0 37 38,37 38 39,24,359,39,0,2,"((0, 39), (37, 38))"
50,6 15 23 31,0 37 38 39,0 37 39,0 38 39,25,26,38,37,2,"((0, 39), (37, 38))"
50,6 15 23 31,0 37 38 39,0 37 39,37 38 39,25,359,38,0,1,"((0, 38), (37, 39))"
50,6 15 23 31,0 37 38 39,0 38 39,37 38 39,26,359,37,0,0,"((0, 37), (38, 39))"
51,6 16 27 35,5 19 29 39,5 19 29,5 19 39,136,137,39,29,0,"((5, 19), (29, 39))"
51,6 16 27 35,5 19 29 39,5 19 29,5 29 39,136,146,39,19,1,"((5, 29), (19, 39))"
51,6 16 27 35,5 19 29 39,5 19 29,19 29 39,136,331,39,5,2,"((5, 39), (19, 29))"
51,6 16 27 35,5 19 29 39,5 19 39,5 29 39,137,146,29,19,2,"((5, 39), (19, 29))"
51,6 16 27 35,5 19 29 39,5 19 39,19 29 39,137,331,29,5,1,"((5, 29), (19, 39))"
51,6 16 27 35,5 19 29 39,5 29 39,19 29 39,146,331,19,5,0,"((5, 19), (29, 39))"
52,6 17 25 36,5 21 28 38,5 21 28,5 21 38,140,141,38,28,0,"((5, 21), (28, 38))"
52,6 17 25 36,5 21 28 38,5 21 28,5 28 38,140,145,38,21,1,"((5, 28), (21, 38))"
52,6 17 25 36,5 21 28 38,5 21 28,21 28 38,140,342,38,5,2,"((5, 38), (21, 28))"
52,6 17 25 36,5 21 28 38,5 21 38,5 28 38,141,145,28,21,2,"((5, 38), (21, 28))"
52,6 17 25 36,5 21 28 38,5 21 38,21 28 38,141,342,28,5,1,"((5, 28), (21, 38))"
52,6 17 25 36,5 21 28 38,5 28 38,21 28 38,145,342,21,5,0,"((5, 21), (28, 38))"
53,6 18 26 34,5 20 30 37,5 20 30,5 20 37,138,139,37,30,0,"((5, 20), (30, 37))"
53,6 18 26 34,5 20 30 37,5 20 30,5 30 37,138,147,37,20,1,"((5, 30), (20, 37))"
53,6 18 26 34,5 20 30 37,5 20 30,20 30 37,138,337,37,5,2,"((5, 37), (20, 30))"
53,6 18 26 34,5 20 30 37,5 20 37,5 30 37,139,147,30,20,2,"((5, 37), (20, 30))"
53,6 18 26 34,5 20 30 37,5 20 37,20 30 37,139,337,30,5,1,"((5, 30), (20, 37))"
53,6 18 26 34,5 20 30 37,5 30 37,20 30 37,147,337,20,5,0,"((5, 20), (30, 37))"
54,7 13 25 37,1 15 18 21,1 15 18,1 15 21,36,37,21,18,0,"((1, 15), (18, 21))"
54,7 13 25 37,1 15 18 21,1 15 18,1 18 21,36,39,21,15,1,"((1, 18), (15, 21))"
54,7 13 25 37,1 15 18 21,1 15 18,15 18 21,36,299,21,1,2,"((1, 21), (15, 18))"
54,7 13 25 37,1 15 18 21,1 15 21,1 18 21,37,39,18,15,2,"((1, 21), (15, 18))"
54,7 13 25 37,1 15 18 21,1 15 21,15 18 21,37,299,18,1,1,"((1, 18), (15, 21))"
54,7 13 25 37,1 15 18 21,1 18 21,15 18 21,39,299,15,1,0,"((1, 15), (18, 21))"
55,7 14 26 38,10 15 30 36,10 15 30,10 15 36,227,228,36,30,0,"((10, 15), (30, 36))"
55,7 14 26 38,10 15 30 36,10 15 30,10 30 36,227,242,36,15,1,"((10, 30), (15, 36))"
55,7 14 26 38,10 15 30 36,10 15 30,15 30 36,227,305,36,10,2,"((10, 36), (15, 30))"
55,7 14 26 38,10 15 30 36,10 15 36,10 30 36,228,242,30,15,2,"((10, 36), (15, 30))"
55,7 14 26 38,10 15 30 36,10 15 36,15 30 36,228,305,30,10,1,"((10, 30), (15, 36))"
55,7 14 26 38,10 15 30 36,10 30 36,15 30 36,242,305,15,10,0,"((10, 15), (30, 36))"
56,7 16 28 31,1 33 36 39,1 33 36,1 33 39,48,49,39,36,0,"((1, 33), (36, 39))"
56,7 16 28 31,1 33 36 39,1 33 36,1 36 39,48,51,39,33,1,"((1, 36), (33, 39))"
56,7 16 28 31,1 33 36 39,1 33 36,33 36 39,48,357,39,1,2,"((1, 39), (33, 36))"
56,7 16 28 31,1 33 36 39,1 33 39,1 36 39,49,51,36,33,2,"((1, 39), (33, 36))"
56,7 16 28 31,1 33 36 39,1 33 39,33 36 39,49,357,36,1,1,"((1, 36), (33, 39))"
56,7 16 28 31,1 33 36 39,1 36 39,33 36 39,51,357,33,1,0,"((1, 33), (36, 39))"
57,7 17 29 32,10 21 27 33,10 21 27,10 21 33,235,236,33,27,0,"((10, 21), (27, 33))"
57,7 17 29 32,10 21 27 33,10 21 27,10 27 33,235,240,33,21,1,"((10, 27), (21, 33))"
57,7 17 29 32,10 21 27 33,10 21 27,21 27 33,235,341,33,10,2,"((10, 33), (21, 27))"
57,7 17 29 32,10 21 27 33,10 21 33,10 27 33,236,240,27,21,2,"((10, 33), (21, 27))"
57,7 17 29 32,10 21 27 33,10 21 33,21 27 33,236,341,27,10,1,"((10, 27), (21, 33))"
57,7 17 29 32,10 21 27 33,10 27 33,21 27 33,240,341,21,10,0,"((10, 21), (27, 33))"
58,7 19 22 34,1 24 27 30,1 24 27,1 24 30,42,43,30,27,0,"((1, 24), (27, 30))"
58,7 19 22 34,1 24 27 30,1 24 27,1 27 30,42,45,30,24,1,"((1, 27), (24, 30))"
58,7 19 22 34,1 24 27 30,1 24 27,24 27 30,42,349,30,1,2,"((1, 30), (24, 27))"
58,7 19 22 34,1 24 27 30,1 24 30,1 27 30,43,45,27,24,2,"((1, 30), (24, 27))"
58,7 19 22 34,1 24 27 30,1 24 30,24 27 30,43,349,27,1,1,"((1, 27), (24, 30))"
58,7 19 22 34,1 24 27 30,1 27 30,24 27 30,45,349,24,1,0,"((1, 24), (27, 30))"
59,7 20 23 35,10 18 24 39,10 18 24,10 18 39,231,232,39,24,0,"((10, 18), (24, 39))"
59,7 20 23 35,10 18 24 39,10 18 24,10 24 39,231,238,39,18,1,"((10, 24), (18, 39))"
59,7 20 23 35,10 18 24 39,10 18 24,18 24 39,231,320,39,10,2,"((10, 39), (18, 24))"
59,7 20 23 35,10 18 24 39,10 18 39,10 24 39,232,238,24,18,2,"((10, 39), (18, 24))"
59,7 20 23 35,10 18 24 39,10 18 39,18 24 39,232,320,24,10,1,"((10, 24), (18, 39))"
59,7 20 23 35,10 18 24 39,10 24 39,18 24 39,238,320,18,10,0,"((10, 18), (24, 39))"
60,8 13 26 39,2 15 16 20,2 15 16,2 15 20,60,61,20,16,0,"((2, 15), (16, 20))"
60,8 13 26 39,2 15 16 20,2 15 16,2 16 20,60,62,20,15,1,"((2, 16), (15, 20))"
60,8 13 26 39,2 15 16 20,2 15 16,15 16 20,60,297,20,2,2,"((2, 20), (15, 16))"
60,8 13 26 39,2 15 16 20,2 15 20,2 16 20,61,62,16,15,2,"((2, 20), (15, 16))"
60,8 13 26 39,2 15 16 20,2 15 20,15 16 20,61,297,16,2,1,"((2, 16), (15, 20))"
60,8 13 26 39,2 15 16 20,2 16 20,15 16 20,62,297,15,2,0,"((2, 15), (16, 20))"
61,8 14 27 37,12 15 29 34,12 15 29,12 15 34,263,264,34,29,0,"((12, 15), (29, 34))"
61,8 14 27 37,12 15 29 34,12 15 29,12 29 34,263,277,34,15,1,"((12, 29), (15, 34))"
61,8 14 27 37,12 15 29 34,12 15 29,15 29 34,263,304,34,12,2,"((12, 34), (15, 29))"
61,8 14 27 37,12 15 29 34,12 15 34,12 29 34,264,277,29,15,2,"((12, 34), (15, 29))"
61,8 14 27 37,12 15 29 34,12 15 34,15 29 34,264,304,29,12,1,"((12, 29), (15, 34))"
61,8 14 27 37,12 15 29 34,12 29 34,15 29 34,277,304,15,12,0,"((12, 15), (29, 34))"
62,8 17 30 31,2 33 34 38,2 33 34,2 33 38,72,73,38,34,0,"((2, 33), (34, 38))"
62,8 17 30 31,2 33 34 38,2 33 34,2 34 38,72,74,38,33,1,"((2, 34), (33, 38))"
62,8 17 30 31,2 33 34 38,2 33 34,33 34 38,72,355,38,2,2,"((2, 38), (33, 34))"
62,8 17 30 31,2 33 34 38,2 33 38,2 34 38,73,74,34,33,2,"((2, 38), (33, 34))"
62,8 17 30 31,2 33 34 38,2 33 38,33 34 38,73,355,34,2,1,"((2, 34), (33, 38))"
62,8 17 30 31,2 33 34 38,2 34 38,33 34 38,74,355,33,2,0,"((2, 33), (34, 38))"
63,8 18 28 32,12 20 25 33,12 20 25,12 20 33,269,270,33,25,0,"((12, 20), (25, 33))"
63,8 18 28 32,12 20 25 33,12 20 25,12 25 33,269,275,33,20,1,"((12, 25), (20, 33))"
63,8 18 28 32,12 20 25 33,12 20 25,20 25 33,269,334,33,12,2,"((12, 33), (20, 25))"
63,8 18 28 32,12 20 25 33,12 20 33,12 25 33,270,275,25,20,2,"((12, 33), (20, 25))"
63,8 18 28 32,12 20 25 33,12 20 33,20 25 33,270,334,25,12,1,"((12, 25), (20, 33))"
63,8 18 28 32,12 20 25 33,12 25 33,20 25 33,275,334,20,12,0,"((12, 20), (25, 33))"
64,8 19 23 36,12 16 24 38,12 16 24,12 16 38,265,266,38,24,0,"((12, 16), (24, 38))"
64,8 19 23 36,12 16 24 38,12 16 24,12 24 38,265,274,38,16,1,"((12, 24), (16, 38))"
64,8 19 23 36,12 16 24 38,12 16 24,16 24 38,265,308,38,12,2,"((12, 38), (16, 24))"
64,8 19 23 36,12 16 24 38,12 16 38,12 24 38,266,274,24,16,2,"((12, 38), (16, 24))"
64,8 19 23 36,12 16 24 38,12 16 38,16 24 38,266,308,24,12,1,"((12, 24), (16, 38))"
64,8 19 23 36,12 16 24 38,12 24 38,16 24 38,274,308,16,12,0,"((12, 16), (24, 38))"
65,8 21 22 35,2 24 25 29,2 24 25,2 24 29,66,67,29,25,0,"((2, 24), (25, 29))"
65,8 21 22 35,2 24 25 29,2 24 25,2 25 29,66,68,29,24,1,"((2, 25), (24, 29))"
65,8 21 22 35,2 24 25 29,2 24 25,24 25 29,66,347,29,2,2,"((2, 29), (24, 25))"
65,8 21 22 35,2 24 25 29,2 24 29,2 25 29,67,68,25,24,2,"((2, 29), (24, 25))"
65,8 21 22 35,2 24 25 29,2 24 29,24 25 29,67,347,25,2,1,"((2, 25), (24, 29))"
65,8 21 22 35,2 24 25 29,2 25 29,24 25 29,68,347,24,2,0,"((2, 24), (25, 29))"
66,9 13 27 38,3 15 17 19,3 15 17,3 15 19,84,85,19,17,0,"((3, 15), (17, 19))"
66,9 13 27 38,3 15 17 19,3 15 17,3 17 19,84,87,19,15,1,"((3, 17), (15, 19))"
66,9 13 27 38,3 15 17 19,3 15 17,15 17 19,84,298,19,3,2,"((3, 19), (15, 17))"
66,9 13 27 38,3 15 17 19,3 15 19,3 17 19,85,87,17,15,2,"((3, 19), (15, 17))"
66,9 13 27 38,3 15 17 19,3 15 19,15 17 19,85,298,17,3,1,"((3, 17), (15, 19))"
66,9 13 27 38,3 15 17 19,3 17 19,15 17 19,87,298,15,3,0,"((3, 15), (17, 19))"
67,9 14 25 39,11 15 28 35,11 15 28,11 15 35,245,246,35,28,0,"((11, 15), (28, 35))"
67,9 14 25 39,11 15 28 35,11 15 28,11 28 35,245,259,35,15,1,"((11, 28), (15, 35))"
67,9 14 25 39,11 15 28 35,11 15 28,15 28 35,245,303,35,11,2,"((11, 35), (15, 28))"
67,9 14 25 39,11 15 28 35,11 15 35,11 28 35,246,259,28,15,2,"((11, 35), (15, 28))"
67,9 14 25 39,11 15 28 35,11 15 35,15 28 35,246,303,28,11,1,"((11, 28), (15, 35))"
67,9 14 25 39,11 15 28 35,11 28 35,15 28 35,259,303,15,11,0,"((11, 15), (28, 35))"
68,9 16 30 32,11 19 26 33,11 19 26,11 19 33,251,252,33,26,0,"((11, 19), (26, 33))"
68,9 16 30 32,11 19 26 33,11 19 26,11 26 33,251,257,33,19,1,"((11, 26), (19, 33))"
68,9 16 30 32,11 19 26 33,11 19 26,19 26 33,251,329,33,11,2,"((11, 33), (19, 26))"
68,9 16 30 32,11 19 26 33,11 19 33,11 26 33,252,257,26,19,2,"((11, 33), (19, 26))"
68,9 16 30 32,11 19 26 33,11 19 33,19 26 33,252,329,26,11,1,"((11, 26), (19, 33))"
68,9 16 30 32,11 19 26 33,11 26 33,19 26 33,257,329,19,11,0,"((11, 19), (26, 33))"
69,9 18 29 31,3 33 35 37,3 33 35,3 33 37,96,97,37,35,0,"((3, 33), (35, 37))"
69,9 18 29 31,3 33 35 37,3 33 35,3 35 37,96,99,37,33,1,"((3, 35), (33, 37))"
69,9 18 29 31,3 33 35 37,3 33 35,33 35 37,96,356,37,3,2,"((3, 37), (33, 35))"
69,9 18 29 31,3 33 35 37,3 33 37,3 35 37,97,99,35,33,2,"((3, 37), (33, 35))"
69,9 18 29 31,3 33 35 37,3 33 37,33 35 37,97,356,35,3,1,"((3, 35), (33, 37))"
69,9 18 29 31,3 33 35 37,3 35 37,33 35 37,99,356,33,3,0,"((3, 33), (35, 37))"
70,9 20 22 36,3 24 26 28,3 24 26,3 24 28,90,91,28,26,0,"((3, 24), (26, 28))"
70,9 20 22 36,3 24 26 28,3 24 26,3 26 28,90,93,28,24,1,"((3, 26), (24, 28))"
70,9 20 22 36,3 24 26 28,3 24 26,24 26 28,90,348,28,3,2,"((3, 28), (24, 26))"
70,9 20 22 36,3 24 26 28,3 24 28,3 26 28,91,93,26,24,2,"((3, 28), (24, 26))"
70,9 20 22 36,3 24 26 28,3 24 28,24 26 28,91,348,26,3,1,"((3, 26), (24, 28))"
70,9 20 22 36,3 24 26 28,3 26 28,24 26 28,93,348,24,3,0,"((3, 24), (26, 28))"
71,9 21 23 34,11 17 24 37,11 17 24,11 17 37,247,248,37,24,0,"((11, 17), (24, 37))"
71,9 21 23 34,11 17 24 37,11 17 24,11 24 37,247,256,37,17,1,"((11, 24), (17, 37))"
71,9 21 23 34,11 17 24 37,11 17 24,17 24 37,247,314,37,11,2,"((11, 37), (17, 24))"
71,9 21 23 34,11 17 24 37,11 17 37,11 24 37,248,256,24,17,2,"((11, 37), (17, 24))"
71,9 21 23 34,11 17 24 37,11 17 37,17 24 37,248,314,24,11,1,"((11, 24), (17, 37))"
71,9 21 23 34,11 17 24 37,11 24 37,17 24 37,256,314,17,11,0,"((11, 17), (24, 37))"
72,10 13 28 34,1 14 17 20,1 14 17,1 14 20,34,35,20,17,0,"((1, 14), (17, 20))"
72,10 13 28 34,1 14 17 20,1 14 17,1 17 20,34,38,20,14,1,"((1, 17), (14, 20))"
72,10 13 28 34,1 14 17 20,1 14 17,14 17 20,34,289,20,1,2,"((1, 20), (14, 17))"
72,10 13 28 34,1 14 17 20,1 14 20,1 17 20,35,38,17,14,2,"((1, 20), (14, 17))"
72,10 13 28 34,1 14 17 20,1 14 20,14 17 20,35,289,17,1,1,"((1, 17), (14, 20))"
72,10 13 28 34,1 14 17 20,1 17 20,14 17 20,38,289,14,1,0,"((1, 14), (17, 20))"
73,10 15 30 36,7 14 26 38,7 14 26,7 14 38,172,173,38,26,0,"((7, 14), (26, 38))"
73,10 15 30 36,7 14 26 38,7 14 26,7 26 38,172,185,38,14,1,"((7, 26), (14, 38))"
73,10 15 30 36,7 14 26 38,7 14 26,14 26 38,172,295,38,7,2,"((7, 38), (14, 26))"
73,10 15 30 36,7 14 26 38,7 14 38,7 26 38,173,185,26,14,2,"((7, 38), (14, 26))"
73,10 15 30 36,7 14 26 38,7 14 38,14 26 38,173,295,26,7,1,"((7, 26), (14, 38))"
73,10 15 30 36,7 14 26 38,7 26 38,14 26 38,185,295,14,7,0,"((7, 14), (26, 38))"
74,10 16 22 37,1 23 26 29,1 23 26,1 23 29,40,41,29,26,0,"((1, 23), (26, 29))"
74,10 16 22 37,1 23 26 29,1 23 26,1 26 29,40,44,29,23,1,"((1, 26), (23, 29))"
74,10 16 22 37,1 23 26 29,1 23 26,23 26 29,40,345,29,1,2,"((1, 29), (23, 26))"
74,10 16 22 37,1 23 26 29,1 23 29,1 26 29,41,44,26,23,2,"((1, 29), (23, 26))"
74,10 16 22 37,1 23 26 29,1 23 29,23 26 29,41,345,26,1,1,"((1, 26), (23, 29))"
74,10 16 22 37,1 23 26 29,1 26 29,23 26 29,44,345,23,1,0,"((1, 23), (26, 29))"
75,10 18 24 39,7 20 23 35,7 20 23,7 20 35,180,181,35,23,0,"((7, 20), (23, 35))"
75,10 18 24 39,7 20 23 35,7 20 23,7 23 35,180,183,35,20,1,"((7, 23), (20, 35))"
75,10 18 24 39,7 20 23 35,7 20 23,20 23 35,180,333,35,7,2,"((7, 35), (20, 23))"
75,10 18 24 39,7 20 23 35,7 20 35,7 23 35,181,183,23,20,2,"((7, 35), (20, 23))"
75,10 18 24 39,7 20 23 35,7 20 35,20 23 35,181,333,23,7,1,"((7, 23), (20, 35))"
75,10 18 24 39,7 20 23 35,7 23 35,20 23 35,183,333,20,7,0,"((7, 20), (23, 35))"
76,10 19 25 31,1 32 35 38,1 32 35,1 32 38,46,47,38,35,0,"((1, 32), (35, 38))"
76,10 19 25 31,1 32 35 38,1 32 35,1 35 38,46,50,38,32,1,"((1, 35), (32, 38))"
76,10 19 25 31,1 32 35 38,1 32 35,32 35 38,46,353,38,1,2,"((1, 38), (32, 35))"
76,10 19 25 31,1 32 35 38,1 32 38,1 35 38,47,50,35,32,2,"((1, 38), (32, 35))"
76,10 19 25 31,1 32 35 38,1 32 38,32 35 38,47,353,35,1,1,"((1, 35), (32, 38))"
76,10 19 25 31,1 32 35 38,1 35 38,32 35 38,50,353,32,1,0,"((1, 32), (35, 38))"
77,10 21 27 33,7 17 29 32,7 17 29,7 17 32,176,177,32,29,0,"((7, 17), (29, 32))"
77,10 21 27 33,7 17 29 32,7 17 29,7 29 32,176,187,32,17,1,"((7, 29), (17, 32))"
77,10 21 27 33,7 17 29 32,7 17 29,17 29 32,176,317,32,7,2,"((7, 32), (17, 29))"
77,10 21 27 33,7 17 29 32,7 17 32,7 29 32,177,187,29,17,2,"((7, 32), (17, 29))"
77,10 21 27 33,7 17 29 32,7 17 32,17 29 32,177,317,29,7,1,"((7, 29), (17, 32))"
77,10 21 27 33,7 17 29 32,7 29 32,17 29 32,187,317,17,7,0,"((7, 17), (29, 32))"
78,11 13 29 36,3 14 16 21,3 14 16,3 14 21,82,83,21,16,0,"((3, 14), (16, 21))"
78,11 13 29 36,3 14 16 21,3 14 16,3 16 21,82,86,21,14,1,"((3, 16), (14, 21))"
78,11 13 29 36,3 14 16 21,3 14 16,14 16 21,82,288,21,3,2,"((3, 21), (14, 16))"
78,11 13 29 36,3 14 16 21,3 14 21,3 16 21,83,86,16,14,2,"((3, 21), (14, 16))"
78,11 13 29 36,3 14 16 21,3 14 21,14 16 21,83,288,16,3,1,"((3, 16), (14, 21))"
78,11 13 29 36,3 14 16 21,3 16 21,14 16 21,86,288,14,3,0,"((3, 14), (16, 21))"
79,11 15 28 35,9 14 25 39,9 14 25,9 14 39,208,209,39,25,0,"((9, 14), (25, 39))"
79,11 15 28 35,9 14 25 39,9 14 25,9 25 39,208,220,39,14,1,"((9, 25), (14, 39))"
79,11 15 28 35,9 14 25 39,9 14 25,14 25 39,208,294,39,9,2,"((9, 39), (14, 25))"
79,11 15 28 35,9 14 25 39,9 14 39,9 25 39,209,220,25,14,2,"((9, 39), (14, 25))"
79,11 15 28 35,9 14 25 39,9 14 39,14 25 39,209,294,25,9,1,"((9, 25), (14, 39))"
79,11 15 28 35,9 14 25 39,9 25 39,14 25 39,220,294,14,9,0,"((9, 14), (25, 39))"
80,11 17 24 37,9 21 23 34,9 21 23,9 21 34,216,217,34,23,0,"((9, 21), (23, 34))"
80,11 17 24 37,9 21 23 34,9 21 23,9 23 34,216,219,34,21,1,"((9, 23), (21, 34))"
80,11 17 24 37,9 21 23 34,9 21 23,21 23 34,216,339,34,9,2,"((9, 34), (21, 23))"
80,11 17 24 37,9 21 23 34,9 21 34,9 23 34,217,219,23,21,2,"((9, 34), (21, 23))"
80,11 17 24 37,9 21 23 34,9 21 34,21 23 34,217,339,23,9,1,"((9, 23), (21, 34))"
80,11 17 24 37,9 21 23 34,9 23 34,21 23 34,219,339,21,9,0,"((9, 21), (23, 34))"
81,11 18 22 38,3 23 25 30,3 23 25,3 23 30,88,89,30,25,0,"((3, 23), (25, 30))"
81,11 18 22 38,3 23 25 30,3 23 25,3 25 30,88,92,30,23,1,"((3, 25), (23, 30))"
81,11 18 22 38,3 23 25 30,3 23 25,23 25 30,88,344,30,3,2,"((3, 30), (23, 25))"
81,11 18 22 38,3 23 25 30,3 23 30,3 25 30,89,92,25,23,2,"((3, 30), (23, 25))"
81,11 18 22 38,3 23 25 30,3 23 30,23 25 30,89,344,25,3,1,"((3, 25), (23, 30))"
81,11 18 22 38,3 23 25 30,3 25 30,23 25 30,92,344,23,3,0,"((3, 23), (25, 30))"
82,11 19 26 33,9 16 30 32,9 16 30,9 16 32,210,211,32,30,0,"((9, 16), (30, 32))"
82,11 19 26 33,9 16 30 32,9 16 30,9 30 32,210,223,32,16,1,"((9, 30), (16, 32))"
82,11 19 26 33,9 16 30 32,9 16 30,16 30 32,210,312,32,9,2,"((9, 32), (16, 30))"
82,11 19 26 33,9 16 30 32,9 16 32,9 30 32,211,223,30,16,2,"((9, 32), (16, 30))"
82,11 19 26 33,9 16 30 32,9 16 32,16 30 32,211,312,30,9,1,"((9, 30), (16, 32))"
82,11 19 26 33,9 16 30 32,9 30 32,16 30 32,223,312,16,9,0,"((9, 16), (30, 32))"
83,11 20 27 31,3 32 34 39,3 32 34,3 32 39,94,95,39,34,0,"((3, 32), (34, 39))"
83,11 20 27 31,3 32 34 39,3 32 34,3 34 39,94,98,39,32,1,"((3, 34), (32, 39))"
83,11 20 27 31,3 32 34 39,3 32 34,32 34 39,94,352,39,3,2,"((3, 39), (32, 34))"
83,11 20 27 31,3 32 34 39,3 32 39,3 34 39,95,98,34,32,2,"((3, 39), (32, 34))"
83,11 20 27 31,3 32 34 39,3 32 39,32 34 39,95,352,34,3,1,"((3, 34), (32, 39))"
83,11 20 27 31,3 32 34 39,3 34 39,32 34 39,98,352,32,3,0,"((3, 32), (34, 39))"
84,12 13 30 35,2 14 18 19,2 14 18,2 14 19,58,59,19,18,0,"((2, 14), (18, 19))"
