component_id,center_quad,outer_quad,triad,triad_index,excluded_point
58,7 19 22 34,1 24 27 30,24 27 30,349,1
59,7 20 23 35,10 18 24 39,10 18 24,231,39
59,7 20 23 35,10 18 24 39,10 18 39,232,24
59,7 20 23 35,10 18 24 39,10 24 39,238,18
59,7 20 23 35,10 18 24 39,18 24 39,320,10
60,8 13 26 39,2 15 16 20,2 15 16,60,20
60,8 13 26 39,2 15 16 20,2 15 20,61,16
60,8 13 26 39,2 15 16 20,2 16 20,62,15
60,8 13 26 39,2 15 16 20,15 16 20,297,2
61,8 14 27 37,12 15 29 34,12 15 29,263,34
61,8 14 27 37,12 15 29 34,12 15 34,264,29
61,8 14 27 37,12 15 29 34,12 29 34,277,15
61,8 14 27 37,12 15 29 34,15 29 34,304,12
62,8 17 30 31,2 33 34 38,2 33 34,72,38
62,8 17 30 31,2 33 34 38,2 33 38,73,34
62,8 17 30 31,2 33 34 38,2 34 38,74,33
62,8 17 30 31,2 33 34 38,33 34 38,355,2
63,8 18 28 32,12 20 25 33,12 20 25,269,33
63,8 18 28 32,12 20 25 33,12 20 33,270,25
63,8 18 28 32,12 20 25 33,12 25 33,275,20
63,8 18 28 32,12 20 25 33,20 25 33,334,12
64,8 19 23 36,12 16 24 38,12 16 24,265,38
64,8 19 23 36,12 16 24 38,12 16 38,266,24
64,8 19 23 36,12 16 24 38,12 24 38,274,16
64,8 19 23 36,12 16 24 38,16 24 38,308,12
65,8 21 22 35,2 24 25 29,2 24 25,66,29
65,8 21 22 35,2 24 25 29,2 24 29,67,25
65,8 21 22 35,2 24 25 29,2 25 29,68,24
65,8 21 22 35,2 24 25 29,24 25 29,347,2
66,9 13 27 38,3 15 17 19,3 15 17,84,19
66,9 13 27 38,3 15 17 19,3 15 19,85,17
66,9 13 27 38,3 15 17 19,3 17 19,87,15
66,9 13 27 38,3 15 17 19,15 17 19,298,3
67,9 14 25 39,11 15 28 35,11 15 28,245,35
67,9 14 25 39,11 15 28 35,11 15 35,246,28
67,9 14 25 39,11 15 28 35,11 28 35,259,15
67,9 14 25 39,11 15 28 35,15 28 35,303,11
68,9 16 30 32,11 19 26 33,11 19 26,251,33
68,9 16 30 32,11 19 26 33,11 19 33,252,26
68,9 16 30 32,11 19 26 33,11 26 33,257,19
68,9 16 30 32,11 19 26 33,19 26 33,329,11
69,9 18 29 31,3 33 35 37,3 33 35,96,37
69,9 18 29 31,3 33 35 37,3 33 37,97,35
69,9 18 29 31,3 33 35 37,3 35 37,99,33
69,9 18 29 31,3 33 35 37,33 35 37,356,3
70,9 20 22 36,3 24 26 28,3 24 26,90,28
70,9 20 22 36,3 24 26 28,3 24 28,91,26
70,9 20 22 36,3 24 26 28,3 26 28,93,24
70,9 20 22 36,3 24 26 28,24 26 28,348,3
71,9 21 23 34,11 17 24 37,11 17 24,247,37
71,9 21 23 34,11 17 24 37,11 17 37,248,24
71,9 21 23 34,11 17 24 37,11 24 37,256,17
71,9 21 23 34,11 17 24 37,17 24 37,314,11
72,10 13 28 34,1 14 17 20,1 14 17,34,20
72,10 13 28 34,1 14 17 20,1 14 20,35,17
72,10 13 28 34,1 14 17 20,1 17 20,38,14
72,10 13 28 34,1 14 17 20,14 17 20,289,1
73,10 15 30 36,7 14 26 38,7 14 26,172,38
73,10 15 30 36,7 14 26 38,7 14 38,173,26
73,10 15 30 36,7 14 26 38,7 26 38,185,14
73,10 15 30 36,7 14 26 38,14 26 38,295,7
74,10 16 22 37,1 23 26 29,1 23 26,40,29
74,10 16 22 37,1 23 26 29,1 23 29,41,26
74,10 16 22 37,1 23 26 29,1 26 29,44,23
74,10 16 22 37,1 23 26 29,23 26 29,345,1
75,10 18 24 39,7 20 23 35,7 20 23,180,35
75,10 18 24 39,7 20 23 35,7 20 35,181,23
75,10 18 24 39,7 20 23 35,7 23 35,183,20
75,10 18 24 39,7 20 23 35,20 23 35,333,7
76,10 19 25 31,1 32 35 38,1 32 35,46,38
76,10 19 25 31,1 32 35 38,1 32 38,47,35
76,10 19 25 31,1 32 35 38,1 35 38,50,32
76,10 19 25 31,1 32 35 38,32 35 38,353,1
77,10 21 27 33,7 17 29 32,7 17 29,176,32
77,10 21 27 33,7 17 29 32,7 17 32,177,29
77,10 21 27 33,7 17 29 32,7 29 32,187,17
77,10 21 27 33,7 17 29 32,17 29 32,317,7
78,11 13 29 36,3 14 16 21,3 14 16,82,21
78,11 13 29 36,3 14 16 21,3 14 21,83,16
78,11 13 29 36,3 14 16 21,3 16 21,86,14
78,11 13 29 36,3 14 16 21,14 16 21,288,3
79,11 15 28 35,9 14 25 39,9 14 25,208,39
79,11 15 28 35,9 14 25 39,9 14 39,209,25
79,11 15 28 35,9 14 25 39,9 25 39,220,14
79,11 15 28 35,9 14 25 39,14 25 39,294,9
80,11 17 24 37,9 21 23 34,9 21 23,216,34
80,11 17 24 37,9 21 23 34,9 21 34,217,23
80,11 17 24 37,9 21 23 34,9 23 34,219,21
80,11 17 24 37,9 21 23 34,21 23 34,339,9
81,11 18 22 38,3 23 25 30,3 23 25,88,30
81,11 18 22 38,3 23 25 30,3 23 30,89,25
81,11 18 22 38,3 23 25 30,3 25 30,92,23
81,11 18 22 38,3 23 25 30,23 25 30,344,3
82,11 19 26 33,9 16 30 32,9 16 30,210,32
82,11 19 26 33,9 16 30 32,9 16 32,211,30
82,11 19 26 33,9 16 30 32,9 30 32,223,16
82,11 19 26 33,9 16 30 32,16 30 32,312,9
83,11 20 27 31,3 32 34 39,3 32 34,94,39
83,11 20 27 31,3 32 34 39,3 32 39,95,34
83,11 20 27 31,3 32 34 39,3 34 39,98,32
83,11 20 27 31,3 32 34 39,32 34 39,352,3
84,12 13 30 35,2 14 18 19,2 14 18,58,19
84,12 13 30 35,2 14 18 19,2 14 19,59,18
84,12 13 30 35,2 14 18 19,2 18 19,63,14
84,12 13 30 35,2 14 18 19,14 18 19,290,2
85,12 15 29 34,8 14 27 37,8 14 27,190,37
85,12 15 29 34,8 14 27 37,8 14 37,191,27
85,12 15 29 34,8 14 27 37,8 27 37,203,14
85,12 15 29 34,8 14 27 37,14 27 37,296,8
86,12 16 24 38,8 19 23 36,8 19 23,196,36
86,12 16 24 38,8 19 23 36,8 19 36,197,23
86,12 16 24 38,8 19 23 36,8 23 36,201,19
86,12 16 24 38,8 19 23 36,19 23 36,327,8
87,12 17 22 39,2 23 27 28,2 23 27,64,28
87,12 17 22 39,2 23 27 28,2 23 28,65,27
87,12 17 22 39,2 23 27 28,2 27 28,69,23
87,12 17 22 39,2 23 27 28,23 27 28,346,2
88,12 20 25 33,8 18 28 32,8 18 28,194,32
88,12 20 25 33,8 18 28 32,8 18 32,195,28
88,12 20 25 33,8 18 28 32,8 28 32,204,18
88,12 20 25 33,8 18 28 32,18 28 32,323,8
89,12 21 26 31,2 32 36 37,2 32 36,70,37
89,12 21 26 31,2 32 36 37,2 32 37,71,36
89,12 21 26 31,2 32 36 37,2 36 37,75,32
89,12 21 26 31,2 32 36 37,32 36 37,354,2
