m,node,top_eigval,top_eigvec,sigma_Z2,sum_phases_mod8,dist_from_base,degree_flip_graph
3,7,4.669576639044021,-0.05219079522784428,-1,6,5,3
3,8,4.669576639044021,0.08645965585715462,1,4,4,3
3,9,4.669576639044021,0.11973859358028677,1,0,4,4
3,10,4.669576639044021,0.014527330964113376,1,0,1,3
3,11,4.669576639044021,-0.09806605491919566,-1,6,5,4
3,12,4.669576639044021,0.04018789810689482,1,4,2,3
3,13,4.669576639044021,-0.21146946721473198,-1,6,2,6
3,14,4.669576639044021,0.022936411702441994,1,0,4,3
3,15,4.669576639044021,-0.12716651357569095,-1,6,3,5
3,16,4.669576639044021,0.18566380002290925,1,0,5,5
3,17,4.669576639044021,-0.07419300426705304,-1,6,5,3
3,18,4.669576639044021,-0.08395548770498627,-1,6,2,4
3,19,4.669576639044021,0.15642310194779688,1,0,3,5
3,20,4.669576639044021,-0.1517128931109608,-1,6,2,6
3,21,4.669576639044021,-0.042985271849944225,-1,6,3,3
3,22,4.669576639044021,0.09130929414319068,1,0,4,4
3,23,4.669576639044021,-0.17619316326849918,-1,6,3,5
3,24,4.669576639044021,0.26456604078439494,1,0,3,6
3,25,4.669576639044021,0.18492310755428315,1,0,4,5
3,26,4.669576639044021,0.040562113726307955,1,0,0,5
3,27,4.669576639044021,0.07502128756066065,1,4,1,5
3,28,4.669576639044021,-0.039562511718817084,-1,2,3,3
3,29,4.669576639044021,-0.11524712287784183,-1,6,4,4
3,30,4.669576639044021,0.14927647539047004,1,0,5,5
3,31,4.669576639044021,0.04258496068603284,1,0,3,3
3,32,4.669576639044021,0.17572491829006467,1,0,3,5
3,33,4.669576639044021,0.06746226967827212,1,0,2,4
3,34,4.669576639044021,0.2501242100241438,1,0,4,6
