potential,m,branch,mu,eig_rank,eigval,ipr,mass_defect7,mass_O6,mass_O12,overlap_score,O6_bias_frac
V_O12_4,3,1,-0.825,2,3.674298769459182,0.047811183940638706,0.023217168077343725,0.009121606963432824,0.01688038362045656,0.9999964947939802,0.3508041791513336
V_O12_4,3,1,-0.7999999999999998,2,3.6747242293337115,0.04777416782608878,0.023473484381156436,0.009097089466026376,0.017157813562203913,0.9999962693254073,0.3464910708639199
V_O12_4,3,1,-0.7749999999999999,2,3.6751567326686887,0.04773638550525205,0.023736135777930514,0.009068158771435795,0.017443949169295776,0.9999960195654115,0.3420383920948812
V_O12_4,3,1,-0.75,2,3.675596504007545,0.047697806762074746,0.024005480961738875,0.009034411642036251,0.017739352828030915,0.9999957418238996,0.3374352400761279
V_O12_4,3,1,-0.7249999999999999,2,3.676043782762631,0.04765839842700084,0.024281924759544663,0.008995403821673456,0.018044653372506332,0.999995431700092,0.3326695560125144
V_O12_4,3,1,-0.7,2,3.6764988250128163,0.04761812386740751,0.024565927026981592,0.008950645207874447,0.018360557348540633,0.9999950839178203,0.3277279786218831
V_O12_4,3,1,-0.6749999999999998,2,3.6769619056113463,0.047576942365841764,0.024858013628206187,0.008899594401390286,0.018687862664110773,0.9999946921161439,0.3225956774463602
V_O12_4,3,1,-0.6499999999999999,2,3.6774333206708936,0.04753480835722408,0.02515879006288877,0.008841652557709826,0.019027475225146695,0.9999942485813526,0.3172561633892053
V_O12_4,3,1,-0.625,2,3.677913390509676,0.04749167048771381,0.025468958476327203,0.008776156462439653,0.019380429329355676,0.9999937439014686,0.31169107387605516
V_O12_4,3,1,-0.5999999999999999,2,3.67840246316453,0.047447470446656176,0.02578933902147255,0.00870237075411499,0.01974791282213083,0.9999931665174523,0.3058799301766903
V_O12_4,3,1,-0.575,2,3.678900918605724,0.04740214150789778,0.026120896857575876,0.008619479227519886,0.02013129832900594,0.999992502135566,0.29979986490012844
V_O12_4,3,1,-0.5499999999999998,2,3.6794091738261065,0.04735560669629469,0.026464776502495926,0.00852657517332482,0.020532182299115957,0.9999917329514104,0.2934253187225217
V_O12_4,3,1,-0.5249999999999999,2,3.679927689027243,0.047307776467333675,0.026822345852579133,0.008422650754612156,0.02095243416735947,0.9999908366161044,0.28672770739891734
V_O12_4,3,1,-0.5,2,3.680456975192385,0.047258545749422454,0.02719525301572679,0.008306585501695265,0.021394258732616796,0.9999897848458488,0.2796750636407622
V_O12_4,3,1,-0.47499999999999987,2,3.6809976034263885,0.047207790145174094,0.02758550027364609,0.008177134146197182,0.021860275947858717,0.999988541533022,0.2722316644584189
V_O12_4,3,1,-0.44999999999999996,2,3.681550216565827,0.04715536101347748,0.027995541153385418,0.00803291425039455,0.022353623861788144,0.9999870601526923,0.26435766458402854
V_O12_4,3,1,-0.4249999999999998,2,3.6821155437318462,0.04710107904877541,0.02842840898032226,0.007872394478177,0.02287809264491548,0.9999852801612729,0.25600877301254565
V_O12_4,3,1,-0.3999999999999999,2,3.682694418733552,0.04704472582351783,0.028887888763141006,0.0076938849980255075,0.023438300784537174,0.999983121935217,0.24713603636811654
V_O12_4,3,1,-0.375,2,3.683287803560593,0.04698603254275794,0.029378749381062032,0.007495532569395107,0.02403992911607531,0.999980479566395,0.23768583583511946
V_O12_4,3,1,-0.34999999999999987,2,3.6838968186740253,0.04692466494361443,0.02990706067611838,0.007275324615462545,0.02469003510686451,0.9999772104659984,0.22760027349710382
V_O12_4,3,1,-0.32499999999999996,2,3.6845227824823743,0.0468602028067341,0.030480631585205257,0.007031109491806579,0.025397479876691057,0.9999731201443359,0.21681823441941164
V_O12_4,3,1,-0.2999999999999998,2,3.685167263378919,0.04679211185456329,0.03110962311542592,0.006760645020101435,0.026173515665465677,0.9999679395819695,0.20527758652914163
