lambda,mu,line_id,cards,stability_flux,stability_noflux,delta_stability,meanmax_flux,stdmax_flux,meanmax_noflux,stdmax_noflux
0.44,1.75,7,6♠ 6♡ 6♢ 6♣,15.064202334789508,11.656896182694647,3.4073061520948613,0.06475128473733169,0.00429835468870423,0.059449776263638024,0.005099966177265501
0.44,1.75,8,3♡ 4♠ 8♣ 10♣,9.602452599802183,18.769392370505106,-9.166939770702923,0.06293151165365683,0.0065536914657567035,0.055009256224566185,0.002930795794487716
0.44,1.75,9,6♡ 7♢ 8♠ 9♣,12.71191010364238,19.90235994124048,-7.1904498375981,0.06307319840731945,0.004961740438146027,0.05626435491136496,0.0028270192619106104
0.44,1.75,10,9♠ 9♡ 9♢ 9♣,9.255517620162074,6.764587247586468,2.4909303725756056,0.07018700204311884,0.007583260593683554,0.06723041107105489,0.009938582889154394
0.44,1.75,11,2♡ 4♠ 5♡ 6♡,12.09284375999057,29.11254537136645,-17.01970161137588,0.0627516685416344,0.005189157305517303,0.056252805136982956,0.0019322530688886523
0.44,1.75,12,6♠ 7♡ 8♣ 9♢,15.410129553963175,10.771884264721798,4.638245289241377,0.06434430889407652,0.004175455415138185,0.05972526413855207,0.005544551228994715
0.44,1.75,13,3♠ 4♡ 5♢ 7♢,10.440123881176483,9.32211811148849,1.1180057696879935,0.061275270812518205,0.005869209169346866,0.05793705283796681,0.006215009523057398
0.44,1.75,14,2♢ 4♣ 5♣ 6♠,17.12154385698751,9.240368051798448,7.881175805189063,0.06278384064465782,0.003666949731232033,0.05844426529282552,0.006324885000814502
0.44,1.75,15,8♠ 8♡ 8♢ 8♣,9.956541830351014,8.587535727234954,1.3690061031160603,0.07248603747816527,0.007280242348523313,0.06495910408043887,0.007564347461684987
0.44,1.75,16,3♣ 4♢ 5♠ 7♡,6.427056303551827,5.781234822074889,0.6458214814769381,0.07121780963548485,0.011080937566413925,0.06774676266249118,0.011718389712144027
0.44,1.75,17,1♠ 1♡ 1♢ 1♣,3.4499515881120186,2.7651433455386174,0.6848082425734012,0.12128562308960543,0.03515574639004683,0.1133872094281335,0.04100590647898111
0.44,1.75,18,1♡ 2♠ 5♠ 8♠,6.427056303551827,5.781234822074889,0.6458214814769381,0.07121780963548485,0.011080937566413925,0.06774676266249118,0.011718389712144027
0.44,1.75,19,10♠ 10♡ 10♢ 10♣,11.736987154750942,9.894486168108012,1.8425009866429303,0.06468616788734033,0.005511309421613912,0.05883047591790182,0.005945783835397607
0.44,1.75,20,1♠ 4♡ 6♢ 8♢,3.4499515881120186,2.7651433455386174,0.6848082425734012,0.12128562308960543,0.03515574639004683,0.1133872094281335,0.04100590647898111
0.44,1.75,21,1♢ 2♢ 7♢ 10♣,9.342765254315996,14.787910913260575,-5.445145658944579,0.06298216712088289,0.006741276849676553,0.05482206892881859,0.003707222017388453
0.44,1.75,22,5♣ 7♠ 8♡ 10♢,9.956541830351014,8.884596352741246,1.071945477609768,0.07248603747816527,0.007280242348523313,0.06598716915009367,0.007427143173446934
0.44,1.75,23,4♠ 4♡ 4♢ 4♣,12.362802530179195,14.411893942208453,-2.0490914120292576,0.059237654807956015,0.0047916040609197845,0.05493511284796959,0.003811789974881777
0.44,1.75,24,2♣ 4♢ 9♣ 10♠,5.958695782269649,7.149575457005699,-1.19087967473605,0.08753214166602567,0.014689815500647182,0.08234486894650427,0.011517448755060902
0.44,1.75,25,1♢ 3♢ 5♡ 9♢,11.482343090877134,16.85349899075097,-5.371155899873838,0.06189129308839382,0.005390127485179156,0.05602654922258167,0.0033243274440119806
0.44,1.75,26,2♠ 2♡ 2♢ 2♣,5.958695782269649,7.149575457005699,-1.19087967473605,0.08753214166602567,0.014689815500647182,0.08234486894650427,0.011517448755060902
0.44,1.75,27,1♡ 4♠ 7♠ 9♠,8.619916780286447,6.764587247586468,1.8553295326999786,0.06974247942285758,0.008090852986232655,0.06723041107105489,0.009938582889154394
0.44,1.75,28,1♠ 2♡ 7♡ 10♡,3.4499515881120186,2.7651433455386174,0.6848082425734012,0.12128562308960543,0.03515574639004683,0.1133872094281335,0.04100590647898111
0.44,1.75,29,2♢ 3♣ 8♢ 9♠,8.619916780286447,6.764587247586468,1.8553295326999786,0.06974247942285758,0.008090852986232655,0.06723041107105489,0.009938582889154394
0.44,1.75,30,5♠ 5♡ 5♢ 5♣,6.427056303551827,5.781234822074889,0.6458214814769381,0.07121780963548485,0.011080937566413925,0.06774676266249118,0.011718389712144027
0.44,1.75,31,1♠ 3♡ 5♣ 9♣,3.4499515881120186,2.7651433455386174,0.6848082425734012,0.12128562308960543,0.03515574639004683,0.1133872094281335,0.04100590647898111
0.44,1.75,32,1♢ 4♢ 6♣ 8♡,9.956541830351014,8.587535727234954,1.3690061031160603,0.07248603747816527,0.007280242348523313,0.06495910408043887,0.007564347461684987
0.44,1.75,33,5♢ 6♣ 9♠ 10♡,8.619916780286447,6.764587247586468,1.8553295326999786,0.06974247942285758,0.008090852986232655,0.06723041107105489,0.009938582889154394
0.44,1.75,34,1♣ 4♣ 7♣ 9♡,8.96488958574854,8.6758796623569,0.28900992339164056,0.07611938973855038,0.008490834048816079,0.0703678823192362,0.008110749002726483
0.44,1.75,35,1♣ 2♣ 5♢ 8♣,5.958695782269649,7.149575457005699,-1.19087967473605,0.08753214166602567,0.014689815500647182,0.08234486894650427,0.011517448755060902
0.44,1.75,36,1♣ 3♣ 6♡ 10♢,13.900517250948788,11.60518955111374,2.295327699835047,0.06409506262828635,0.004610983999455955,0.059532368661265406,0.005129805799298826
0.44,1.75,37,5♠ 6♢ 9♡ 10♣,7.798451099193533,5.999158488495192,1.7992926106983411,0.07346565733863787,0.009420544721532616,0.06796531759519699,0.01132914186640286
0.44,1.75,38,2♠ 4♡ 9♢ 10♢,14.014893664172309,10.679059671437681,3.335833992734628,0.06360576587872743,0.004538440847491358,0.05972380926395096,0.005592609377742205
0.44,1.75,39,2♠ 3♡ 6♣ 7♣,8.96488958574854,8.6758796623569,0.28900992339164056,0.07611938973855038,0.008490834048816079,0.0703678823192362,0.008110749002726483
0.45,1.75,0,2♡ 3♠ 8♡ 9♡,10.139606956838536,8.571457075810285,1.5681498810282513,0.07247565374221611,0.007147777428723288,0.06540639522443079,0.007630720733469663
