quartet_str,m_tuple,sum_m_mod3,z3_orbit_id,orbit_size,orbit_members,is_w33_rainbow,w33_line_id,mean_abs_delta,rank_by_mean_abs_delta,pred_mean_abs_delta
sec0_m2 sec1_m0 sec2_m1 sec3_m2,"(2, 0, 1, 2)",2,19,3,sec0_m0 sec1_m2 sec2_m0 sec3_m1 | sec0_m1 sec1_m1 sec2_m2 sec3_m0 | sec0_m2 sec1_m0 sec2_m1 sec3_m2,False,,,,0.009137991489568374
sec0_m2 sec1_m0 sec2_m2 sec3_m0,"(2, 0, 2, 0)",1,4,3,sec0_m0 sec1_m0 sec2_m1 sec3_m1 | sec0_m1 sec1_m2 sec2_m2 sec3_m1 | sec0_m2 sec1_m0 sec2_m2 sec3_m0,True,22,0.0033015429176538303,26,0.0034537524366557563
sec0_m2 sec1_m0 sec2_m2 sec3_m1,"(2, 0, 2, 1)",2,7,3,sec0_m0 sec1_m0 sec2_m2 sec3_m1 | sec0_m1 sec1_m0 sec2_m2 sec3_m1 | sec0_m2 sec1_m0 sec2_m2 sec3_m1,False,,,,0.004622454889827116
sec0_m2 sec1_m0 sec2_m2 sec3_m2,"(2, 0, 2, 2)",0,1,3,sec0_m0 sec1_m0 sec2_m0 sec3_m1 | sec0_m1 sec1_m1 sec2_m2 sec3_m1 | sec0_m2 sec1_m0 sec2_m2 sec3_m2,False,,,,0.007361991217334888
sec0_m2 sec1_m1 sec2_m0 sec3_m0,"(2, 1, 0, 0)",0,14,3,sec0_m0 sec1_m1 sec2_m1 sec3_m2 | sec0_m1 sec1_m2 sec2_m0 sec3_m2 | sec0_m2 sec1_m1 sec2_m0 sec3_m0,False,,,,0.005339990500045246
sec0_m2 sec1_m1 sec2_m0 sec3_m1,"(2, 1, 0, 1)",1,17,3,sec0_m0 sec1_m1 sec2_m2 sec3_m2 | sec0_m1 sec1_m0 sec2_m0 sec3_m2 | sec0_m2 sec1_m1 sec2_m0 sec3_m1,True,14,0.010940248884698443,9,0.005644625270588798
sec0_m2 sec1_m1 sec2_m0 sec3_m2,"(2, 1, 0, 2)",2,11,3,sec0_m0 sec1_m1 sec2_m0 sec3_m2 | sec0_m1 sec1_m1 sec2_m0 sec3_m2 | sec0_m2 sec1_m1 sec2_m0 sec3_m2,False,,,,0.011547704238191276
sec0_m2 sec1_m1 sec2_m1 sec3_m0,"(2, 1, 1, 0)",1,23,3,sec0_m0 sec1_m2 sec2_m1 sec3_m2 | sec0_m1 sec1_m2 sec2_m0 sec3_m0 | sec0_m2 sec1_m1 sec2_m1 sec3_m0,True,6,0.0028638058953718904,29,0.008231004080207556
sec0_m2 sec1_m1 sec2_m1 sec3_m1,"(2, 1, 1, 1)",2,26,3,sec0_m0 sec1_m2 sec2_m2 sec3_m2 | sec0_m1 sec1_m0 sec2_m0 sec3_m0 | sec0_m2 sec1_m1 sec2_m1 sec3_m1,False,,,,0.007684902923754404
sec0_m2 sec1_m1 sec2_m1 sec3_m2,"(2, 1, 1, 2)",0,20,3,sec0_m0 sec1_m2 sec2_m0 sec3_m2 | sec0_m1 sec1_m1 sec2_m0 sec3_m0 | sec0_m2 sec1_m1 sec2_m1 sec3_m2,False,,,,0.01191989300132196
sec0_m2 sec1_m1 sec2_m2 sec3_m0,"(2, 1, 2, 0)",2,5,3,sec0_m0 sec1_m0 sec2_m1 sec3_m2 | sec0_m1 sec1_m2 sec2_m0 sec3_m1 | sec0_m2 sec1_m1 sec2_m2 sec3_m0,False,,,,0.004319331994914005
sec0_m2 sec1_m1 sec2_m2 sec3_m1,"(2, 1, 2, 1)",0,8,3,sec0_m0 sec1_m0 sec2_m2 sec3_m2 | sec0_m1 sec1_m0 sec2_m0 sec3_m1 | sec0_m2 sec1_m1 sec2_m2 sec3_m1,False,,,,0.0021051419484259307
sec0_m2 sec1_m1 sec2_m2 sec3_m2,"(2, 1, 2, 2)",1,2,3,sec0_m0 sec1_m0 sec2_m0 sec3_m2 | sec0_m1 sec1_m1 sec2_m0 sec3_m1 | sec0_m2 sec1_m1 sec2_m2 sec3_m2,True,20,0.00034271195484016217,40,0.007582852952530057
sec0_m2 sec1_m2 sec2_m0 sec3_m0,"(2, 2, 0, 0)",1,12,3,sec0_m0 sec1_m1 sec2_m1 sec3_m0 | sec0_m1 sec1_m2 sec2_m1 sec3_m2 | sec0_m2 sec1_m2 sec2_m0 sec3_m0,True,28,0.00044766330387043,38,0.007779840946447208
sec0_m2 sec1_m2 sec2_m0 sec3_m1,"(2, 2, 0, 1)",2,15,3,sec0_m0 sec1_m1 sec2_m2 sec3_m0 | sec0_m1 sec1_m0 sec2_m1 sec3_m2 | sec0_m2 sec1_m2 sec2_m0 sec3_m1,False,,,,0.00872919354005384
sec0_m2 sec1_m2 sec2_m0 sec3_m2,"(2, 2, 0, 2)",0,9,3,sec0_m0 sec1_m1 sec2_m0 sec3_m0 | sec0_m1 sec1_m1 sec2_m1 sec3_m2 | sec0_m2 sec1_m2 sec2_m0 sec3_m2,False,,,,0.011249380007996882
sec0_m2 sec1_m2 sec2_m1 sec3_m0,"(2, 2, 1, 0)",2,21,3,sec0_m0 sec1_m2 sec2_m1 sec3_m0 | sec0_m1 sec1_m2 sec2_m1 sec3_m0 | sec0_m2 sec1_m2 sec2_m1 sec3_m0,False,,,,0.006016357896517824
sec0_m2 sec1_m2 sec2_m1 sec3_m1,"(2, 2, 1, 1)",0,24,3,sec0_m0 sec1_m2 sec2_m2 sec3_m0 | sec0_m1 sec1_m0 sec2_m1 sec3_m0 | sec0_m2 sec1_m2 sec2_m1 sec3_m1,False,,,,0.004021517709594478
sec0_m2 sec1_m2 sec2_m1 sec3_m2,"(2, 2, 1, 2)",1,18,3,sec0_m0 sec1_m2 sec2_m0 sec3_m0 | sec0_m1 sec1_m1 sec2_m1 sec3_m0 | sec0_m2 sec1_m2 sec2_m1 sec3_m2,True,30,0.003458812317412455,24,0.009060528994569148
sec0_m2 sec1_m2 sec2_m2 sec3_m0,"(2, 2, 2, 0)",0,3,3,sec0_m0 sec1_m0 sec2_m1 sec3_m0 | sec0_m1 sec1_m2 sec2_m1 sec3_m1 | sec0_m2 sec1_m2 sec2_m2 sec3_m0,False,,,,0.009320222217874385
sec0_m2 sec1_m2 sec2_m2 sec3_m1,"(2, 2, 2, 1)",1,6,3,sec0_m0 sec1_m0 sec2_m2 sec3_m0 | sec0_m1 sec1_m0 sec2_m1 sec3_m1 | sec0_m2 sec1_m2 sec2_m2 sec3_m1,True,39,0.01945270245354121,3,0.009844206847982666
sec0_m2 sec1_m2 sec2_m2 sec3_m2,"(2, 2, 2, 2)",2,0,3,sec0_m0 sec1_m0 sec2_m0 sec3_m0 | sec0_m1 sec1_m1 sec2_m1 sec3_m1 | sec0_m2 sec1_m2 sec2_m2 sec3_m2,False,,,,0.014032482205960633
