aut_index,perm,comm_norm
72,"(12,5,2)(18,17,20,6,23,8,0,11,14)(1,19,13,7)(3,22)(9,16,21,10)(4,15)",75.63068160475615
175,"(12,23,13,21,0,11,1,15,18,5,19,3,6,17,7,9)(2,8,14)",75.63068160475615
178,"(12,17,10,9,1,14,6,5,22,15,7,8,18,11,4,21,13,2)(19,20,0,23,16,3)",75.63068160475615
180,"(12,2,19,10,23,6,14,7,16,5,0,20,13,4,11,18,8,1,22,17)(3,9,15)",75.63068160475615
183,"(12,4,2,3,11,6,16,8,21,5)(18,22,14,15,23,0,10,20,9,17)(1,19)(13,7)",75.63068160475615
186,"(12,9,14)(18,15,2,0,3,20)(1,16,7,22,19,10,13,4)(8,6,21)(5,17,11)",75.63068160475615
182,"(1,23,13,5,19,11)(2,8)(3,4,21,16,15,22)(9,10)(17,7)",75.63068160475615
160,"(12,15,13,18,9,1,6,21,19,0,3,7)(2,16,14,22,20,4)(8,10)(11,23)",75.63068160475615
151,"(12,13)(18,19,6,1,0,7)(2,10,8,16,14,22)(20,4)(3,15)(5,23,11,17)",75.63068160475615
208,"(12,6)(18,0)(1,2,10,3)(13,14,16,21)(19,8,22,15,7,20,4,9)(5,17)(11,23)",75.63068160475615
218,"(12,5,1,20,6,11,13,14,0,23,19,8)(18,17,7,2)(3,16,9,22,15,4,21,10)",75.63068160475615
145,"(12,20,23,16,7,18,14,5,22,19,6,2,17,4,13,0,8,11,10,1)(9,15)",75.63068160475615
148,"(12,9,11,10,13)(18,21,17,4,7,6,15,5,22,19,0,3,23,16,1)(2,20,14)",75.63068160475615
212,"(12,1,22,9,14,17)(18,19,16,15,2,23,6,13,4,3,20,11,0,7,10,21,8,5)",75.63068160475615
200,"(12,17,9,0,5,21,18,11,15)(1,20,19,2,7,14,13,8)(3,6,23)(4,10,22,16)",75.63068160475615
211,"(12,16,1,9,17,8)(18,4,7,15,5,14,6,22,19,3,11,20)(13,21,23,2,0,10)",75.63068160475615
179,"(12,0,18,6)(1,9,16,20,5,13,21,4,2,17,19,15,22,14,23)(8,11,7,3,10)",75.63068160475615
163,"(12,6,18)(1,15,11,7,3,17,13,21,5)(19,9,23)(8,20,14)(4,16,22)",75.63068160475615
157,"(12,21,14,18,15,8,6,3,20,0,9,2)(1,5,22)(13,17,16)(19,23,4)(10,7,11)",75.63068160475615
140,"(12,5,2,13,6,17,14,1)(18,11,8,7)(19,0,23,20)(3,21,9,15)(4,16,22,10)",75.63068160475615
152,"(12,10)(18,16)(1,5)(13,23,19,11,7,17)(2,3,20,9)(8,21)(4,0,22,6)(14,15)",75.63068160475615
