mu,t,line_id,prob,mask_size,density
0.5,1.75,20,0.3972987351800116,8,0.04966234189750145
0.5,1.75,21,0.30050911837402905,8,0.03756363979675363
0.5,1.75,22,0.3968162284241513,8,0.049602028553018915
0.5,1.75,23,0.3489183655604754,8,0.043614795695059425
0.5,1.75,24,0.09325699000651139,2,0.04662849500325569
0.5,1.75,25,0.04973835161650426,2,0.02486917580825213
0.5,1.75,26,0.33057616660658373,8,0.04132202082582297
0.5,1.75,27,0.09110571820700389,2,0.045552859103501944
0.5,1.75,28,0.35057251606549494,8,0.04382156450818687
0.5,1.75,29,0.0679744699429699,2,0.03398723497148495
0.5,1.75,30,0.3525208240242249,8,0.044065103003028114
0.5,1.75,31,0.13636580356004502,2,0.06818290178002251
0.5,1.75,32,0.28579825545079707,8,0.03572478193134963
0.5,1.75,33,0.08939430716361497,2,0.04469715358180749
0.5,1.75,34,0.04861955735402415,2,0.024309778677012076
0.5,1.75,35,0.302674653201819,8,0.03783433165022738
0.5,1.75,36,0.3383040624204243,8,0.04228800780255304
0.5,1.75,37,0.07702236168406068,2,0.03851118084203034
0.5,1.75,38,0.115936099992936,2,0.057968049996468
0.5,1.75,39,0.39031576807062013,8,0.048789471008827516
0.5,2.0,0,0.04936700614387207,2,0.024683503071936036
0.5,2.0,1,0.29833106063353915,8,0.03729138257919239
0.5,2.0,2,0.29823044928838766,8,0.03727880616104846
0.5,2.0,3,0.2970942077418978,8,0.03713677596773723
0.5,2.0,4,0.30628756899143295,8,0.03828594612392912
0.5,2.0,5,0.27150094664503005,8,0.033937618330628756
0.5,2.0,6,0.31998557221019186,8,0.03999819652627398
0.5,2.0,7,0.3344959259689004,8,0.04181199074611255
0.5,2.0,8,0.3712672026658975,8,0.04640840033323719
0.5,2.0,9,0.10284595292516194,2,0.05142297646258097
0.5,2.0,10,0.9999999999999991,24,0.04166666666666663
0.5,2.0,11,0.2817354411790849,8,0.03521693014738561
0.5,2.0,12,0.06488587284684404,2,0.03244293642342202
0.5,2.0,13,0.3572318506890716,8,0.04465398133613395
0.5,2.0,14,0.33648058031949457,8,0.04206007253993682
0.5,2.0,15,0.28435053705968455,8,0.03554381713246057
0.5,2.0,16,0.3089026648720326,8,0.038612833109004076
0.5,2.0,17,0.3338654844388949,8,0.041733185554861864
0.5,2.0,18,0.3663246005934553,8,0.04579057507418191
0.5,2.0,19,0.3817839785014196,8,0.04772299731267745
0.5,2.0,20,0.40457473162456214,8,0.05057184145307027
0.5,2.0,21,0.2923070454175784,8,0.0365383806771973
0.5,2.0,22,0.3940031273860687,8,0.049250390923258586
0.5,2.0,23,0.3455185018209069,8,0.04318981272761336
0.5,2.0,24,0.10412816638681231,2,0.052064083193406156
0.5,2.0,25,0.04957246685404021,2,0.024786233427020105
0.5,2.0,26,0.3316385895922038,8,0.04145482369902548
0.5,2.0,27,0.0799500152560107,2,0.03997500762800535
0.5,2.0,28,0.36217445276151383,8,0.04527180659518923
0.5,2.0,29,0.06725170514380652,2,0.03362585257190326
0.5,2.0,30,0.3701309611194077,8,0.04626637013992596
0.5,2.0,31,0.15379439406847303,2,0.07689719703423652
0.5,2.0,32,0.29719481908704926,8,0.03714935238588116
0.5,2.0,33,0.09412717970232468,2,0.04706358985116234
0.5,2.0,34,0.050548608260370984,2,0.025274304130185492
0.5,2.0,35,0.31368982719635197,8,0.039211228399543996
0.5,2.0,36,0.33153797824705233,8,0.04144224728088154
0.5,2.0,37,0.07263692049456974,2,0.03631846024728487
0.5,2.0,38,0.11089171191771288,2,0.05544585595885644
0.5,2.0,39,0.40936189394888156,8,0.051170236743610195
0.75,0.0,0,0.0,2,0.0
0.75,0.0,1,0.0,8,0.0
0.75,0.0,2,1.0,8,0.125
0.75,0.0,3,1.0,8,0.125
0.75,0.0,4,0.0,8,0.0
0.75,0.0,5,0.0,8,0.0
0.75,0.0,6,0.0,8,0.0
0.75,0.0,7,1.0,8,0.125
0.75,0.0,8,0.0,8,0.0
0.75,0.0,9,1.0,2,0.5
0.75,0.0,10,1.0,24,0.041666666666666664
0.75,0.0,11,1.0,8,0.125
0.75,0.0,12,0.0,2,0.0
0.75,0.0,13,1.0,8,0.125
0.75,0.0,14,0.0,8,0.0
0.75,0.0,15,1.0,8,0.125
0.75,0.0,16,0.0,8,0.0
0.75,0.0,17,0.0,8,0.0
0.75,0.0,18,1.0,8,0.125
0.75,0.0,19,0.0,8,0.0
0.75,0.0,20,0.0,8,0.0
0.75,0.0,21,1.0,8,0.125
0.75,0.0,22,0.0,8,0.0
0.75,0.0,23,0.0,8,0.0
0.75,0.0,24,0.0,2,0.0
0.75,0.0,25,0.0,2,0.0
0.75,0.0,26,0.0,8,0.0
0.75,0.0,27,0.0,2,0.0
0.75,0.0,28,0.0,8,0.0
0.75,0.0,29,0.0,2,0.0
0.75,0.0,30,0.0,8,0.0
0.75,0.0,31,0.0,2,0.0
0.75,0.0,32,0.0,8,0.0
0.75,0.0,33,0.0,2,0.0
0.75,0.0,34,0.0,2,0.0
0.75,0.0,35,0.0,8,0.0
0.75,0.0,36,1.0,8,0.125
0.75,0.0,37,0.0,2,0.0
0.75,0.0,38,0.0,2,0.0
0.75,0.0,39,0.0,8,0.0
0.75,0.25,0,0.013484843590954728,2,0.006742421795477364
0.75,0.25,1,0.045595165531055214,8,0.005699395691381902
0.75,0.25,2,0.8132404758358834,8,0.10165505947948543
0.75,0.25,3,0.788463050519733,8,0.09855788131496662
0.75,0.25,4,0.01997889006688662,8,0.0024973612583608275
0.75,0.25,5,0.00616248354482914,8,0.0007703104431036425
0.75,0.25,6,0.1755872215697851,8,0.021948402696223137
0.75,0.25,7,0.803129587129854,8,0.10039119839123176
0.75,0.25,8,0.18939676531488572,8,0.023674595664360715
0.75,0.25,9,0.7870636155927241,2,0.39353180779636204
0.75,0.25,10,0.9999999999999998,24,0.04166666666666666
0.75,0.25,11,0.8132473386128403,8,0.10165591732660503
0.75,0.25,12,0.013478219291306902,2,0.006739109645653451
0.75,0.25,13,0.8044407511402849,8,0.10055509389253561
0.75,0.25,14,0.1755803587928282,8,0.021947544849103526
0.75,0.25,15,0.8140974687009038,8,0.10176218358761298
0.75,0.25,16,0.02082902015495022,8,0.0026036275193687774
0.75,0.25,17,0.17473022870476462,8,0.021841278588095578
0.75,0.25,18,0.8036019009922668,8,0.10045023762403335
0.75,0.25,19,0.0111723025943313,8,0.0013965378242914125
0.75,0.25,20,0.16594178394921155,8,0.020742722993651444
0.75,0.25,21,0.7884811932367353,8,0.09856014915459191
0.75,0.25,22,0.19070792932531658,8,0.023838491165664572
0.75,0.25,23,0.02128319130036061,8,0.0026603989125450764
0.75,0.25,24,0.005986126078494744,2,0.002993063039247372
0.75,0.25,25,5.2902858862632126e-05,2,2.6451429431316063e-05
0.75,0.25,26,0.022140184165381074,8,0.002767523020672634
0.75,0.25,27,0.012645976570298843,2,0.006322988285149421
0.75,0.25,28,0.19023561546290393,8,0.023779451932862992
0.75,0.25,29,7.07902259181705e-05,2,3.539511295908525e-05
0.75,0.25,30,0.16461933999873535,8,0.02057741749984192
0.75,0.25,31,0.16197868489404957,2,0.08098934244702478
0.75,0.25,32,0.020817740214904824,8,0.002602217526863103
0.75,0.25,33,0.0012938676865927212,2,0.0006469338432963606
0.75,0.25,34,5.2664381553592835e-05,2,2.6332190776796417e-05
0.75,0.25,35,0.02081087743794796,8,0.002601359679743495
0.75,0.25,36,0.7897854944702093,8,0.09872318680877616
0.75,0.25,37,0.0012938845592304028,2,0.0006469422796152014
0.75,0.25,38,0.0025984242700134307,2,0.0012992121350067153
0.75,0.25,39,0.16592364123220932,8,0.020740455154026165
0.75,0.5,0,0.034269603731759024,2,0.017134801865879512
0.75,0.5,1,0.15875774331724607,8,0.01984471791465576
0.75,0.5,2,0.4259269832880956,8,0.05324087291101195
0.75,0.5,3,0.38232890819379856,8,0.04779111352422482
0.75,0.5,4,0.10702328806308928,8,0.01337791100788616
0.75,0.5,5,0.07223470132504457,8,0.009029337665630572
0.75,0.5,6,0.4526376878985215,8,0.056579710987315186
0.75,0.5,7,0.4258195983148983,8,0.05322744978936229
0.75,0.5,8,0.48716163203693363,8,0.060895204004616704
0.75,0.5,9,0.36339594412904774,2,0.18169797206452387
0.75,0.5,10,1.0000000000000002,24,0.04166666666666668
0.75,0.5,11,0.4261916258877282,8,0.05327395323596602
0.75,0.5,12,0.03404923594464439,2,0.017024617972322194
0.75,0.5,13,0.440603666638022,8,0.05507545832975275
0.75,0.5,14,0.4523730452988889,8,0.05654663066236111
0.75,0.5,15,0.4348937292707832,8,0.0543617161588479
0.75,0.5,16,0.1157253914461443,8,0.014465673930768037
0.75,0.5,17,0.4436709419158339,8,0.05545886773947924
0.75,0.5,18,0.43246728647816224,8,0.05405841080977028
0.75,0.5,19,0.12143532881338309,8,0.015179416101672887
0.75,0.5,20,0.45891334848895554,8,0.05736416856111944
0.75,0.5,21,0.3831592740166264,8,0.0478949092520783
0.75,0.5,22,0.5019457003600574,8,0.06274321254500717
0.75,0.5,23,0.12154271378658038,8,0.015192839223322548
0.75,0.5,24,0.06430856063335767,2,0.032154280316678836
