u,v,w,z2_triangle_parity,s3_holonomy,s3_class,s3_sign
0,24,29,1,"(2, 0, 1)",3-cycle,0
0,24,31,0,"(0, 1, 2)",id,0
0,24,32,0,"(0, 1, 2)",id,0
0,25,26,0,"(0, 1, 2)",id,0
0,25,27,0,"(0, 1, 2)",id,0
0,25,28,0,"(0, 1, 2)",id,0
0,25,29,0,"(0, 2, 1)",transposition,1
0,25,30,0,"(1, 2, 0)",3-cycle,0
0,25,31,0,"(0, 1, 2)",id,0
0,25,32,0,"(0, 2, 1)",transposition,1
0,26,27,0,"(2, 1, 0)",transposition,1
0,26,28,0,"(0, 1, 2)",id,0
0,26,29,0,"(0, 1, 2)",id,0
0,26,30,0,"(0, 2, 1)",transposition,1
0,26,31,0,"(0, 1, 2)",id,0
0,26,32,0,"(2, 1, 0)",transposition,1
0,27,28,0,"(0, 1, 2)",id,0
0,27,29,0,"(1, 0, 2)",transposition,1
0,27,30,0,"(1, 0, 2)",transposition,1
0,27,31,0,"(0, 1, 2)",id,0
0,27,32,0,"(2, 1, 0)",transposition,1
0,28,29,0,"(1, 0, 2)",transposition,1
0,28,30,0,"(1, 0, 2)",transposition,1
0,28,31,0,"(0, 1, 2)",id,0
0,28,32,0,"(0, 1, 2)",id,0
0,29,30,0,"(0, 1, 2)",id,0
0,29,31,0,"(0, 1, 2)",id,0
0,29,32,0,"(0, 1, 2)",id,0
0,30,31,0,"(0, 1, 2)",id,0
0,30,32,0,"(0, 1, 2)",id,0
0,31,32,0,"(0, 1, 2)",id,0
1,2,3,0,"(2, 0, 1)",3-cycle,0
1,2,4,0,"(0, 1, 2)",id,0
1,2,5,0,"(0, 1, 2)",id,0
1,2,6,0,"(1, 2, 0)",3-cycle,0
1,2,7,0,"(0, 2, 1)",transposition,1
1,2,8,0,"(0, 1, 2)",id,0
1,2,9,0,"(0, 1, 2)",id,0
1,2,10,0,"(0, 1, 2)",id,0
1,2,17,0,"(0, 1, 2)",id,0
