triad_id,w33_points,centers,hol_mod12,hol_phase,n12_points,cover_mask,cover_size,cover12
177,7 17 32,10 21 27 33,3,i,C20 C12 C25,4095,12,1
178,7 19 22,1 24 27 30,3,i,C20 C28 C30,4095,12,1
179,7 19 34,1 24 27 30,9,-i,C20 C28 C17,4095,12,1
180,7 20 23,10 18 24 39,9,-i,C20 C21 C14,4095,12,1
181,7 20 35,10 18 24 39,3,i,C20 C21 C02,4095,12,1
182,7 22 34,1 24 27 30,3,i,C20 C30 C17,4095,12,1
183,7 23 35,10 18 24 39,9,-i,C20 C14 C02,4095,12,1
184,7 25 37,1 15 18 21,3,i,C20 C37 C03,4095,12,1
185,7 26 38,10 15 30 36,9,-i,C20 C07 C34,4095,12,1
186,7 28 31,1 33 36 39,3,i,C20 C10 C04,4095,12,1
187,7 29 32,10 21 27 33,9,-i,C20 F35 C25,4095,12,1
188,8 13 26,2 15 16 20,3,i,C31 C22 C07,4095,12,1
189,8 13 39,2 15 16 20,9,-i,C31 C22 C15,4095,12,1
190,8 14 27,12 15 29 34,9,-i,C31 C29 F36,4095,12,1
191,8 14 37,12 15 29 34,3,i,C31 C29 C03,4095,12,1
192,8 17 30,2 33 34 38,3,i,C31 C12 C01,4095,12,1
193,8 17 31,2 33 34 38,9,-i,C31 C12 C04,4095,12,1
194,8 18 28,12 20 25 33,9,-i,C31 C06 C10,4095,12,1
195,8 18 32,12 20 25 33,3,i,C31 C06 C25,4095,12,1
196,8 19 23,12 16 24 38,9,-i,C31 C28 C14,3647,9,0
197,8 19 36,12 16 24 38,3,i,C31 C28 C09,4095,12,1
198,8 21 22,2 24 25 29,3,i,C31 C27 C30,4095,12,1
199,8 21 35,2 24 25 29,9,-i,C31 C27 C02,4095,12,1
200,8 22 35,2 24 25 29,3,i,C31 C30 C02,4095,12,1
201,8 23 36,12 16 24 38,9,-i,C31 C14 C09,4095,12,1
202,8 26 39,2 15 16 20,3,i,C31 C07 C15,4095,12,1
203,8 27 37,12 15 29 34,9,-i,C31 F36 C03,4095,12,1
204,8 28 32,12 20 25 33,9,-i,C31 C10 C25,4095,12,1
205,8 30 31,2 33 34 38,3,i,C31 C01 C04,3647,9,0
206,9 13 27,3 15 17 19,3,i,C11 C22 F36,3647,9,0
207,9 13 38,3 15 17 19,9,-i,C11 C22 C34,3647,9,0
208,9 14 25,11 15 28 35,9,-i,C11 C29 C37,4088,9,0
209,9 14 39,11 15 28 35,3,i,C11 C29 C15,4088,9,0
210,9 16 30,11 19 26 33,9,-i,C11 X36 C01,3647,9,0
211,9 16 32,11 19 26 33,3,i,C11 X36 C25,4088,9,0
212,9 18 29,3 33 35 37,3,i,C11 C06 F35,4088,9,0
213,9 18 31,3 33 35 37,9,-i,C11 C06 C04,3647,9,0
214,9 20 22,3 24 26 28,3,i,C11 C21 C30,3647,9,0
215,9 20 36,3 24 26 28,9,-i,C11 C21 C09,4095,12,1
216,9 21 23,11 17 24 37,9,-i,C11 C27 C14,4095,12,1
217,9 21 34,11 17 24 37,3,i,C11 C27 C17,4095,12,1
218,9 22 36,3 24 26 28,3,i,C11 C30 C09,4095,12,1
219,9 23 34,11 17 24 37,9,-i,C11 C14 C17,3647,9,0
220,9 25 39,11 15 28 35,9,-i,C11 C37 C15,4088,9,0
221,9 27 38,3 15 17 19,3,i,C11 F36 C34,3647,9,0
222,9 29 31,3 33 35 37,3,i,C11 F35 C04,4095,12,1
223,9 30 32,11 19 26 33,9,-i,C11 C01 C25,4095,12,1
224,10 11 12,4 14 23 32,9,-i,C16 C24 C26,4095,12,1
225,10 13 28,1 14 17 20,3,i,C16 C22 C10,511,9,0
226,10 13 34,1 14 17 20,9,-i,C16 C22 C17,4095,12,1
227,10 15 30,7 14 26 38,9,-i,C16 C18 C01,4095,12,1
228,10 15 36,7 14 26 38,3,i,C16 C18 C09,4095,12,1
229,10 16 22,1 23 26 29,3,i,C16 X36 C30,4095,12,1
230,10 16 37,1 23 26 29,9,-i,C16 X36 C03,4095,12,1
231,10 18 24,7 20 23 35,9,-i,C16 C06 C19,4095,12,1
232,10 18 39,7 20 23 35,3,i,C16 C06 C15,4095,12,1
233,10 19 25,1 32 35 38,3,i,C16 C28 C37,4095,12,1
234,10 19 31,1 32 35 38,9,-i,C16 C28 C04,4039,9,0
235,10 21 27,7 17 29 32,9,-i,C16 C27 F36,511,9,0
236,10 21 33,7 17 29 32,3,i,C16 C27 C32,4095,12,1
237,10 22 37,1 23 26 29,3,i,C16 C30 C03,4095,12,1
238,10 24 39,7 20 23 35,9,-i,C16 C19 C15,4095,12,1
239,10 25 31,1 32 35 38,3,i,C16 C37 C04,4095,12,1
240,10 27 33,7 17 29 32,9,-i,C16 F36 C32,4039,9,0
241,10 28 34,1 14 17 20,3,i,C16 C10 C17,4095,12,1
242,10 30 36,7 14 26 38,9,-i,C16 C01 C09,4095,12,1
243,11 13 29,3 14 16 21,3,i,C24 C22 F35,4095,12,1
244,11 13 36,3 14 16 21,9,-i,C24 C22 C09,4095,12,1
245,11 15 28,9 14 25 39,9,-i,C24 C18 C10,4088,9,0
246,11 15 35,9 14 25 39,3,i,C24 C18 C02,4095,12,1
247,11 17 24,9 21 23 34,9,-i,C24 C12 C19,4095,12,1
248,11 17 37,9 21 23 34,3,i,C24 C12 C03,4095,12,1
249,11 18 22,3 23 25 30,3,i,C24 C06 C30,4095,12,1
250,11 18 38,3 23 25 30,9,-i,C24 C06 C34,4095,12,1
251,11 19 26,9 16 30 32,9,-i,C24 C28 C07,4095,12,1
252,11 19 33,9 16 30 32,3,i,C24 C28 C32,4095,12,1
253,11 20 27,3 32 34 39,3,i,C24 C21 F36,4095,12,1
254,11 20 31,3 32 34 39,9,-i,C24 C21 C04,4095,12,1
255,11 22 38,3 23 25 30,3,i,C24 C30 C34,4095,12,1
256,11 24 37,9 21 23 34,9,-i,C24 C19 C03,4088,9,0
257,11 26 33,9 16 30 32,9,-i,C24 C07 C32,4095,12,1
258,11 27 31,3 32 34 39,3,i,C24 F36 C04,4095,12,1
259,11 28 35,9 14 25 39,9,-i,C24 C10 C02,4095,12,1
260,11 29 36,3 14 16 21,3,i,C24 F35 C09,4095,12,1
261,12 13 30,2 14 18 19,3,i,C26 C22 C01,3647,9,0
