triad_from,triad_to,component_id,shared_pair,dropped_w33,added_w33,drop_idx_in_sorted_prev,hol_from,hol_to,hol_flip,comm_k4_mod12,comm_phase_complex,comm_phase_angle_rad
249,319,81,18 22,11,38,0,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
249,255,81,11 22,18,38,1,3,3,0,6,-1.000000000000+0.000000000001j,3.1415926535886705
250,249,81,11 18,38,22,2,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
250,319,81,18 38,11,22,0,9,9,0,6,-1.000000000000-0.000000000001j,-3.1415926535886705
250,255,81,11 38,18,22,1,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
251,329,82,19 26,11,33,0,9,3,1,6,-1.000000000000+0.000000000000j,3.141592653589793
251,257,82,11 26,19,33,1,9,9,0,6,-1.000000000000+0.000000000001j,3.141592653588951
251,252,82,11 19,26,33,2,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
252,329,82,19 33,11,26,0,3,3,0,6,-1.000000000000-0.000000000001j,-3.141592653588951
252,257,82,11 33,19,26,1,3,9,1,6,-1.000000000000+0.000000000000j,3.141592653589793
252,251,82,11 19,33,26,2,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
253,258,83,11 27,20,31,1,3,3,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
253,254,83,11 20,27,31,2,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653588951
253,335,83,20 27,11,31,0,3,9,1,6,-1.000000000000+0.000000000000j,3.141592653589793
254,258,83,11 31,20,27,1,9,3,1,6,-1.000000000000+0.000000000000j,3.141592653589793
254,253,83,11 20,31,27,2,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653588951
254,335,83,20 31,11,27,0,9,9,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
255,249,81,11 22,38,18,2,3,3,0,6,-1.000000000000-0.000000000001j,-3.1415926535886705
255,250,81,11 38,22,18,1,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
255,319,81,22 38,11,18,0,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
256,248,80,11 37,24,17,1,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
256,314,80,24 37,11,17,0,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
256,247,80,11 24,37,17,2,9,9,0,6,-1.000000000000+0.000000000001j,3.1415926535886705
257,329,82,26 33,11,19,0,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
257,251,82,11 26,33,19,2,9,9,0,6,-1.000000000000-0.000000000001j,-3.141592653588951
257,252,82,11 33,26,19,1,9,3,1,6,-1.000000000000+0.000000000000j,3.141592653589793
258,253,83,11 27,31,20,2,3,3,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
258,254,83,11 31,27,20,1,3,9,1,6,-1.000000000000+0.000000000000j,3.141592653589793
258,335,83,27 31,11,20,0,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653588951
259,245,79,11 28,35,15,2,9,9,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
259,246,79,11 35,28,15,1,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
259,303,79,28 35,11,15,0,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
260,243,78,11 29,36,13,2,3,3,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
260,244,78,11 36,29,13,1,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
260,286,78,29 36,11,13,0,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653589232
261,287,84,13 30,12,35,0,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653588951
261,262,84,12 13,30,35,2,3,9,1,6,-1.000000000000+0.000000000000j,3.141592653589793
261,278,84,12 30,13,35,1,3,3,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
262,261,84,12 13,35,30,2,9,3,1,6,-1.000000000000-0.000000000000j,-3.141592653589793
262,278,84,12 35,13,30,1,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653588951
262,287,84,13 35,12,30,0,9,9,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
263,264,85,12 15,29,34,2,9,3,1,6,-1.000000000000-0.000000000000j,-3.141592653589793
263,304,85,15 29,12,34,0,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
263,277,85,12 29,15,34,1,9,9,0,6,-1.000000000000+0.000000000001j,3.141592653588951
