tetra_id,ranks,rays,suit_r0,ray_r0,suit_r1,ray_r1,suit_r2,ray_r2,suit_r5,ray_r5,suit_r3,ray_r3,suit_r6,ray_r6,suit_r4,ray_r4,suit_r7,ray_r7,suit_r8,ray_r8,suit_r9,ray_r9
52,1-4-5-9,4-11-29-34,,,0.0,4.0,,,2.0,34.0,,,,,3.0,11.0,,,,,1.0,29.0
53,1-4-5-9,5-10-12-27,,,1.0,5.0,,,0.0,12.0,,,,,2.0,10.0,,,,,3.0,27.0
54,1-4-5-9,6-21-24-39,,,2.0,6.0,,,3.0,39.0,,,,,1.0,21.0,,,,,0.0,24.0
55,1-4-5-9,7-18-20-33,,,3.0,7.0,,,1.0,33.0,,,,,0.0,20.0,,,,,2.0,18.0
56,1-4-6-8,4-10-13-35,,,0.0,4.0,,,,,,,1.0,13.0,2.0,10.0,,,3.0,35.0,,
57,1-4-6-8,7-21-32-38,,,3.0,7.0,,,,,,,2.0,38.0,1.0,21.0,,,0.0,32.0,,
58,1-5-6-7,5-15-16-34,,,1.0,5.0,,,2.0,34.0,,,0.0,16.0,,,3.0,15.0,,,,
59,1-5-6-7,6-31-33-36,,,2.0,6.0,,,1.0,33.0,,,3.0,31.0,,,0.0,36.0,,,,
60,2-3-5-7,8-19-34-37,,,,,0.0,8.0,2.0,34.0,3.0,19.0,,,,,1.0,37.0,,,,
61,2-3-5-7,12-15-22-25,,,,,1.0,25.0,0.0,12.0,2.0,22.0,,,,,3.0,15.0,,,,
62,2-3-5-7,9-26-36-39,,,,,2.0,26.0,3.0,39.0,1.0,9.0,,,,,0.0,36.0,,,,
63,2-3-5-7,14-23-28-33,,,,,3.0,23.0,1.0,33.0,0.0,28.0,,,,,2.0,14.0,,,,
64,2-3-6-8,8-17-22-31,,,,,0.0,8.0,,,2.0,22.0,3.0,31.0,,,,,1.0,17.0,,
65,2-3-6-8,9-16-23-30,,,,,3.0,23.0,,,1.0,9.0,0.0,16.0,,,,,2.0,30.0,,
66,2-4-5-6,8-11-33-38,,,,,0.0,8.0,1.0,33.0,,,2.0,38.0,3.0,11.0,,,,,,
67,2-4-5-6,10-16-25-39,,,,,1.0,25.0,3.0,39.0,,,0.0,16.0,2.0,10.0,,,,,,
68,2-4-5-6,12-21-26-31,,,,,2.0,26.0,0.0,12.0,,,3.0,31.0,1.0,21.0,,,,,,
69,2-4-5-6,13-20-23-34,,,,,3.0,23.0,2.0,34.0,,,1.0,13.0,0.0,20.0,,,,,,
70,2-4-7-9,8-15-18-21,,,,,0.0,8.0,,,,,,,1.0,21.0,3.0,15.0,,,2.0,18.0
71,2-4-7-9,10-23-29-36,,,,,3.0,23.0,,,,,,,2.0,10.0,0.0,36.0,,,1.0,29.0
72,2-5-8-9,25-27-32-34,,,,,1.0,25.0,2.0,34.0,,,,,,,,,0.0,32.0,3.0,27.0
73,2-5-8-9,24-26-33-35,,,,,2.0,26.0,1.0,33.0,,,,,,,,,3.0,35.0,0.0,24.0
74,3-4-6-7,10-28-31-37,,,,,,,,,0.0,28.0,3.0,31.0,2.0,10.0,1.0,37.0,,,,
75,3-4-6-7,9-15-20-38,,,,,,,,,1.0,9.0,2.0,38.0,0.0,20.0,3.0,15.0,,,,
76,3-4-6-7,11-13-22-36,,,,,,,,,2.0,22.0,1.0,13.0,3.0,11.0,0.0,36.0,,,,
77,3-4-6-7,14-16-19-21,,,,,,,,,3.0,19.0,0.0,16.0,1.0,21.0,2.0,14.0,,,,
78,3-4-8-9,21-27-28-30,,,,,,,,,0.0,28.0,,,1.0,21.0,,,2.0,30.0,3.0,27.0
79,3-4-8-9,9-11-18-32,,,,,,,,,1.0,9.0,,,3.0,11.0,,,0.0,32.0,2.0,18.0
80,3-4-8-9,20-22-29-35,,,,,,,,,2.0,22.0,,,0.0,20.0,,,3.0,35.0,1.0,29.0
81,3-4-8-9,10-17-19-24,,,,,,,,,3.0,19.0,,,2.0,10.0,,,1.0,17.0,0.0,24.0
82,3-5-6-9,13-18-28-39,,,,,,,3.0,39.0,0.0,28.0,1.0,13.0,,,,,,,2.0,18.0
83,3-5-6-9,12-19-29-38,,,,,,,0.0,12.0,3.0,19.0,2.0,38.0,,,,,,,1.0,29.0
84,4-5-7-8,14-17-20-39,,,,,,,3.0,39.0,,,,,0.0,20.0,2.0,14.0,1.0,17.0,,
85,4-5-7-8,11-12-30-37,,,,,,,0.0,12.0,,,,,3.0,11.0,1.0,37.0,2.0,30.0,,
86,6-7-8-9,16-18-35-37,,,,,,,,,,,0.0,16.0,,,1.0,37.0,3.0,35.0,2.0,18.0
87,6-7-8-9,13-15-24-30,,,,,,,,,,,1.0,13.0,,,3.0,15.0,2.0,30.0,0.0,24.0
88,6-7-8-9,17-27-36-38,,,,,,,,,,,2.0,38.0,,,0.0,36.0,1.0,17.0,3.0,27.0
89,6-7-8-9,14-29-31-32,,,,,,,,,,,3.0,31.0,,,2.0,14.0,0.0,32.0,1.0,29.0
